Province,Date,Cumulative confirmed cases,Confirmed cases per day,Cumulative death cases,Deaths per day,Cumulative hospitalizations cases,Hospitalizations per day,Mortality rate,Daily mortality rate,Cumulative Active Cases,Active Cases per day
Saskatchewan,2020-12-25,14255,0,134,0,125,0,0.94,0.0,13996,0
Northwest Territories,2020-12-25,24,0,0,0,0,0,0.0,0.0,24,0
British Columbia,2020-12-25,49847,404,808,0,341,0,1.621,0.0,48698,404
Prince Edward Island,2020-12-25,94,0,0,0,0,0,0.0,0.0,94,0
Yukon,2020-12-25,70,0,1,0,0,0,1.429,0.0,69,0
Nunavut,2020-12-26,265,0,1,0,0,0,0.377,0.0,264,0
Northwest Territories,2020-12-26,24,0,0,0,0,0,0.0,0.0,24,0
Nova Scotia,2020-12-26,1474,9,65,0,0,0,4.41,0.0,1409,9
Alberta,2020-12-26,97392,486,890,0,821,0,0.914,0.0,95681,486
Prince Edward Island,2020-12-26,94,0,0,0,0,0,0.0,0.0,94,0
Newfoundland and Labrador,2020-12-26,384,0,4,0,1,0,1.042,0.0,379,0
New Brunswick,2020-12-26,590,2,8,0,1,0,1.356,0.0,581,2
Manitoba,2020-12-26,24003,198,655,5,346,0,2.729,2.525,23002,193
Ontario,2020-12-26,173444,2249,4530,45,1128,93,2.612,2.001,167786,2111
Saskatchewan,2020-12-26,14255,0,134,0,125,0,0.94,0.0,13996,0
British Columbia,2020-12-26,50178,331,808,0,341,0,1.61,0.0,49029,331
Yukon,2020-12-26,70,0,1,0,0,0,1.429,0.0,69,0
Alberta,2020-12-27,98347,955,1002,112,821,0,1.019,11.728,96524,843
Nunavut,2020-12-27,265,0,1,0,0,0,0.377,0.0,264,0
Nova Scotia,2020-12-27,1477,3,65,0,0,0,4.401,0.0,1412,3
Newfoundland and Labrador,2020-12-27,387,3,4,0,1,0,1.034,0.0,382,3
Saskatchewan,2020-12-27,14814,559,140,6,182,57,0.945,1.073,14492,496
British Columbia,2020-12-27,50654,476,808,0,341,0,1.595,0.0,49505,476
Prince Edward Island,2020-12-27,94,0,0,0,0,0,0.0,0.0,94,0
Quebec,2020-12-27,186074,2058,7662,46,1085,157,4.118,2.235,177327,1855
New Brunswick,2020-12-27,592,2,8,0,2,1,1.351,0.0,582,1
Yukon,2020-12-27,70,0,1,0,0,0,1.429,0.0,69,0
Northwest Territories,2020-12-27,24,0,0,0,0,0,0.0,0.0,24,0
Ontario,2020-12-27,175584,2140,4572,42,1168,40,2.604,1.963,169844,2058
Manitoba,2020-12-28,24265,116,672,5,343,2,2.769,4.31,23250,109
Alberta,2020-12-28,99243,896,1028,26,878,57,1.036,2.902,97337,813
Newfoundland and Labrador,2020-12-28,389,2,4,0,1,0,1.028,0.0,384,2
New Brunswick,2020-12-28,593,1,8,0,3,1,1.349,0.0,582,0
Nova Scotia,2020-12-28,1478,1,65,0,0,0,4.398,0.0,1413,1
British Columbia,2020-12-28,51058,404,808,0,341,0,1.583,0.0,49909,404
Ontario,2020-12-28,178325,2741,4611,39,1230,62,2.586,1.423,172484,2640
Quebec,2020-12-28,188314,2240,7706,44,1124,39,4.092,1.964,179484,2157
Northwest Territories,2020-12-28,24,0,0,0,0,0,0.0,0.0,24,0
Yukon,2020-12-28,70,0,1,0,0,0,1.429,0.0,69,0
Prince Edward Island,2020-12-28,94,0,0,0,0,0,0.0,0.0,94,0
Nunavut,2020-12-28,266,1,1,0,0,0,0.376,0.0,265,1
New Brunswick,2020-12-29,595,2,8,0,3,0,1.345,0.0,584,2
Yukon,2020-12-29,70,0,1,0,0,0,1.429,0.0,69,0
Nunavut,2020-12-29,266,0,1,0,0,0,0.376,0.0,265,0
British Columbia,2020-12-29,51676,618,882,74,373,32,1.707,11.974,50421,512
Nova Scotia,2020-12-29,1480,2,65,0,1,1,4.392,0.0,1414,1
Northwest Territories,2020-12-29,24,0,0,0,0,0,0.0,0.0,24,0
Ontario,2020-12-29,181517,3192,4660,49,1270,40,2.567,1.535,175587,3103
Quebec,2020-12-29,190457,2143,7747,41,1133,9,4.068,1.913,181577,2093
Prince Edward Island,2020-12-29,96,2,0,0,0,0,0.0,0.0,96,2
Newfoundland and Labrador,2020-12-29,390,1,4,0,1,0,1.026,0.0,385,1
Alberta,2020-12-29,100607,1364,1046,18,890,12,1.04,1.32,98671,1334
Newfoundland and Labrador,2020-12-30,390,0,4,0,1,0,1.026,0.0,385,0
British Columbia,2020-12-30,52270,594,893,11,379,6,1.708,1.852,50998,577
Yukon,2020-12-30,70,0,1,0,0,0,1.429,0.0,69,0
Quebec,2020-12-30,193557,3100,7791,44,1211,78,4.025,1.419,184555,2978
Prince Edward Island,2020-12-30,96,0,0,0,0,0,0.0,0.0,96,0
Alberta,2020-12-30,101870,1263,1046,0,921,31,1.027,0.0,99903,1232
Northwest Territories,2020-12-30,24,0,0,0,0,0,0.0,0.0,24,0
Nova Scotia,2020-12-30,1483,3,65,0,1,0,4.383,0.0,1417,3
Nunavut,2020-12-30,266,0,1,0,0,0,0.376,0.0,265,0
Ontario,2020-12-31,187735,3411,4758,50,1287,18,2.534,1.466,181690,3343
Northwest Territories,2020-12-31,24,0,0,0,0,0,0.0,0.0,24,0
Manitoba,2020-12-31,24699,185,683,3,337,0,2.765,1.622,23679,182
Prince Edward Island,2020-12-31,96,0,0,0,0,0,0.0,0.0,96,0
Yukon,2020-12-31,71,1,1,0,0,0,1.408,0.0,70,1
Nova Scotia,2020-12-31,1486,3,65,0,1,0,4.374,0.0,1420,3
Newfoundland and Labrador,2020-12-31,390,0,4,0,1,0,1.026,0.0,385,0
Nunavut,2020-12-31,266,0,1,0,0,0,0.376,0.0,265,0
Alberta,2020-12-31,103230,1360,1046,0,921,0,1.013,0.0,101263,1360
Alberta,2021-01-01,104151,921,1046,0,921,0,1.004,0.0,102184,921
Prince Edward Island,2021-01-01,96,0,0,0,0,0,0.0,0.0,96,0
Nunavut,2021-01-01,266,0,1,0,0,0,0.376,0.0,265,0
New Brunswick,2021-01-01,601,2,9,0,1,0,1.498,0.0,591,2
Northwest Territories,2021-01-01,24,0,0,0,0,0,0.0,0.0,24,0
British Columbia,2021-01-01,53485,596,901,0,374,0,1.685,0.0,52210,596
Ontario,2021-01-01,191012,3277,4810,52,1333,46,2.518,1.587,184869,3179
Saskatchewan,2021-01-01,15350,0,153,0,142,0,0.997,0.0,15055,0
Manitoba,2021-01-01,24853,154,690,7,337,0,2.776,4.545,23826,147
Yukon,2021-01-01,78,7,1,0,0,0,1.282,0.0,77,7
Newfoundland and Labrador,2021-01-01,390,0,4,0,1,0,1.026,0.0,385,0
Nova Scotia,2021-01-01,1497,11,65,0,1,0,4.342,0.0,1431,11
Northwest Territories,2021-01-02,24,0,0,0,0,0,0.0,0.0,24,0
Ontario,2021-01-02,193900,2888,4852,42,1390,57,2.502,1.454,187658,2789
Nunavut,2021-01-02,266,0,1,0,0,0,0.376,0.0,265,0
Alberta,2021-01-02,104617,466,1046,0,921,0,1.0,0.0,102650,466
Yukon,2021-01-02,78,0,1,0,0,0,1.282,0.0,77,0
British Columbia,2021-01-02,53899,414,901,0,374,0,1.672,0.0,52624,414
Saskatchewan,2021-01-02,15845,495,156,3,160,18,0.985,0.606,15529,474
Newfoundland and Labrador,2021-01-02,390,0,4,0,1,0,1.026,0.0,385,0
New Brunswick,2021-01-02,611,10,9,0,1,0,1.473,0.0,601,10
Nova Scotia,2021-01-02,1499,2,65,0,1,0,4.336,0.0,1433,2
Prince Edward Island,2021-01-02,96,0,0,0,0,0,0.0,0.0,96,0
Nunavut,2021-01-03,266,0,1,0,0,0,0.376,0.0,265,0
Quebec,2021-01-03,203828,2287,7960,45,1225,150,3.905,1.968,194643,2092
British Columbia,2021-01-03,54436,537,901,0,374,0,1.655,0.0,53161,537
Northwest Territories,2021-01-03,24,0,0,0,0,0,0.0,0.0,24,0
Newfoundland and Labrador,2021-01-03,390,0,4,0,1,0,1.026,0.0,385,0
Yukon,2021-01-03,79,1,1,0,0,0,1.266,0.0,78,1
New Brunswick,2021-01-03,618,7,9,0,1,0,1.456,0.0,608,7
Prince Edward Island,2021-01-03,96,0,0,0,0,0,0.0,0.0,96,0
Nova Scotia,2021-01-03,1501,2,65,0,1,0,4.33,0.0,1435,2
Ontario,2021-01-03,197201,3301,4900,48,1435,45,2.485,1.454,190866,3208
Manitoba,2021-01-03,25127,94,700,3,339,5,2.786,3.191,24088,86
Alberta,2021-01-03,105755,1138,1142,96,921,0,1.08,8.436,103692,1042
Prince Edward Island,2021-01-04,96,0,0,0,0,0,0.0,0.0,96,0
Newfoundland and Labrador,2021-01-04,391,1,4,0,1,0,1.023,0.0,386,1
Manitoba,2021-01-04,25249,122,704,4,340,1,2.788,3.279,24205,117
Nova Scotia,2021-01-04,1505,4,65,0,1,0,4.319,0.0,1439,4
Northwest Territories,2021-01-04,24,0,0,0,0,0,0.0,0.0,24,0
Saskatchewan,2021-01-04,16367,284,158,2,180,28,0.965,0.704,16029,254
Ontario,2021-01-04,200342,3141,4955,55,1480,45,2.473,1.751,193907,3041
New Brunswick,2021-01-04,635,17,9,0,1,0,1.417,0.0,625,17
Yukon,2021-01-04,80,1,1,0,0,0,1.25,0.0,79,1
Quebec,2021-01-04,206168,2340,8003,43,1294,69,3.882,1.838,196871,2228
Nunavut,2021-01-04,266,0,1,0,0,0,0.376,0.0,265,0
Nunavut,2021-01-05,266,0,1,0,0,0,0.376,0.0,265,0
Prince Edward Island,2021-01-05,97,1,0,0,0,0,0.0,0.0,97,1
Northwest Territories,2021-01-05,24,0,0,0,0,0,0.0,0.0,24,0
Ontario,2021-01-05,203666,3324,5007,52,1483,3,2.458,1.564,197176,3269
New Brunswick,2021-01-05,662,27,9,0,1,0,1.36,0.0,652,27
Quebec,2021-01-05,208678,2510,8052,49,1317,23,3.859,1.952,199309,2438
Alberta,2021-01-05,107780,1148,1193,25,919,14,1.107,2.178,105668,1109
Yukon,2021-01-05,81,1,1,0,0,0,1.235,0.0,80,1
Newfoundland and Labrador,2021-01-05,392,1,4,0,1,0,1.02,0.0,387,1
British Columbia,2021-01-05,55518,565,954,8,367,16,1.718,1.416,54197,541
New Brunswick,2021-01-06,693,31,9,0,1,0,1.299,0.0,683,31
Quebec,2021-01-06,211313,2635,8106,54,1393,76,3.836,2.049,201814,2505
Saskatchewan,2021-01-06,16804,284,172,9,172,6,1.024,3.169,16460,269
Nunavut,2021-01-06,266,0,1,0,0,0,0.376,0.0,265,0
Yukon,2021-01-06,83,2,1,0,0,0,1.205,0.0,82,2
Prince Edward Island,2021-01-06,101,4,0,0,0,0,0.0,0.0,101,4
British Columbia,2021-01-06,56124,606,962,8,381,14,1.714,1.32,54781,584
Ontario,2021-01-06,207404,3738,5059,52,1507,24,2.439,1.391,200838,3662
Northwest Territories,2021-01-06,24,0,0,0,0,0,0.0,0.0,24,0
Newfoundland and Labrador,2021-01-06,392,0,4,0,1,0,1.02,0.0,387,0
Nova Scotia,2021-01-06,1520,12,65,0,0,0,4.276,0.0,1455,12
Ontario,2021-01-07,211573,4169,5108,49,1516,9,2.414,1.175,204949,4111
Saskatchewan,2021-01-07,17138,334,175,3,176,4,1.021,0.898,16787,327
New Brunswick,2021-01-07,717,24,9,0,1,0,1.255,0.0,707,24
Northwest Territories,2021-01-07,24,0,0,0,0,0,0.0,0.0,24,0
Prince Edward Island,2021-01-07,102,1,0,0,0,0,0.0,0.0,102,1
Nunavut,2021-01-07,266,0,1,0,0,0,0.376,0.0,265,0
Nova Scotia,2021-01-07,1523,3,65,0,0,0,4.268,0.0,1458,3
Newfoundland and Labrador,2021-01-07,392,0,4,0,1,0,1.02,0.0,387,0
Yukon,2021-01-07,83,0,1,0,0,0,1.205,0.0,82,0
Prince Edward Island,2021-01-08,102,0,0,0,0,0,0.0,0.0,102,0
Saskatchewan,2021-01-08,17474,336,182,7,180,4,1.042,2.083,17112,325
Yukon,2021-01-08,83,0,1,0,0,0,1.205,0.0,82,0
Northwest Territories,2021-01-08,24,0,0,0,0,0,0.0,0.0,24,0
Nunavut,2021-01-08,266,0,1,0,0,0,0.376,0.0,265,0
Ontario,2021-01-08,215396,3823,5155,47,1541,25,2.393,1.229,208700,3751
Nova Scotia,2021-01-08,1525,2,65,0,0,0,4.262,0.0,1460,2
Quebec,2021-01-08,216762,2799,8194,47,1403,23,3.78,1.679,207165,2729
Newfoundland and Labrador,2021-01-08,392,0,4,0,1,0,1.02,0.0,387,0
Nunavut,2021-01-09,266,0,1,0,0,0,0.376,0.0,265,0
Yukon,2021-01-09,83,0,1,0,0,0,1.205,0.0,82,0
British Columbia,2021-01-09,57727,531,988,0,358,0,1.712,0.0,56381,531
Northwest Territories,2021-01-09,24,0,0,0,0,0,0.0,0.0,24,0
Nova Scotia,2021-01-09,1528,3,65,0,0,0,4.254,0.0,1463,3
Newfoundland and Labrador,2021-01-09,392,0,4,0,1,0,1.02,0.0,387,0
Prince Edward Island,2021-01-09,102,0,0,0,0,0,0.0,0.0,102,0
New Brunswick,2021-01-09,765,30,9,0,0,0,1.176,0.0,756,30
Ontario,2021-01-09,218773,3377,5218,63,1596,55,2.385,1.866,211959,3259
Ontario,2021-01-10,221876,3103,5269,51,1714,118,2.375,1.644,214893,2934
Newfoundland and Labrador,2021-01-10,393,1,4,0,1,0,1.018,0.0,388,1
Yukon,2021-01-10,83,0,1,0,0,0,1.205,0.0,82,0
Prince Edward Island,2021-01-10,102,0,0,0,0,0,0.0,0.0,102,0
New Brunswick,2021-01-10,779,14,9,0,0,0,1.155,0.0,770,14
British Columbia,2021-01-10,58176,449,988,0,358,0,1.698,0.0,56830,449
Nunavut,2021-01-10,266,0,1,0,0,0,0.376,0.0,265,0
Nova Scotia,2021-01-10,1528,0,65,0,0,0,4.254,0.0,1463,0
Manitoba,2021-01-10,26310,140,749,5,322,9,2.847,3.571,25239,126
Saskatchewan,2021-01-10,17803,0,189,0,179,0,1.062,0.0,17435,0
Northwest Territories,2021-01-10,24,0,0,0,0,0,0.0,0.0,24,0
New Brunswick,2021-01-11,800,21,9,0,1,1,1.125,0.0,790,20
Newfoundland and Labrador,2021-01-11,393,0,4,0,1,0,1.018,0.0,388,0
Saskatchewan,2021-01-11,18522,719,197,8,197,18,1.064,1.113,18128,693
Northwest Territories,2021-01-11,24,0,0,0,0,0,0.0,0.0,24,0
Alberta,2021-01-11,113014,675,1345,38,811,17,1.19,5.63,110858,620
British Columbia,2021-01-11,58583,407,1010,22,358,0,1.724,5.405,57215,385
Prince Edward Island,2021-01-11,102,0,0,0,0,0,0.0,0.0,102,0
Quebec,2021-01-11,223509,2239,8331,39,1438,58,3.727,1.742,213740,2142
Nova Scotia,2021-01-11,1533,5,65,0,0,0,4.24,0.0,1468,5
Yukon,2021-01-11,83,0,1,0,0,0,1.205,0.0,82,0
Nunavut,2021-01-11,266,0,1,0,0,0,0.376,0.0,265,0
British Columbia,2021-01-12,59086,503,1019,9,368,10,1.725,1.789,57699,484
Quebec,2021-01-12,225348,1839,8378,47,1499,61,3.718,2.556,215471,1731
Yukon,2021-01-12,83,0,1,0,0,0,1.205,0.0,82,0
Newfoundland and Labrador,2021-01-12,393,0,4,0,1,0,1.018,0.0,388,0
Alberta,2021-01-12,113881,867,1368,23,819,8,1.201,2.653,111694,836
Northwest Territories,2021-01-12,24,0,0,0,0,0,0.0,0.0,24,0
Nunavut,2021-01-12,266,0,1,0,0,0,0.376,0.0,265,0
Nova Scotia,2021-01-12,1534,1,65,0,0,0,4.237,0.0,1469,1
Prince Edward Island,2021-01-12,103,1,0,0,0,0,0.0,0.0,103,1
Quebec,2021-01-13,227513,2165,8430,52,1516,17,3.705,2.402,217567,2096
Newfoundland and Labrador,2021-01-13,393,0,4,0,1,0,1.018,0.0,388,0
Prince Edward Island,2021-01-13,103,0,0,0,0,0,0.0,0.0,103,0
Saskatchewan,2021-01-13,19017,247,203,2,205,14,1.067,0.81,18609,231
Nunavut,2021-01-13,266,0,1,0,0,0,0.376,0.0,265,0
Northwest Territories,2021-01-13,24,0,0,0,0,0,0.0,0.0,24,0
Nova Scotia,2021-01-13,1542,8,65,0,0,0,4.215,0.0,1477,8
New Brunswick,2021-01-13,836,19,12,1,3,3,1.435,5.263,821,15
Alberta,2021-01-13,114847,966,1389,21,820,1,1.209,2.174,112638,944
Yukon,2021-01-13,83,0,1,0,0,0,1.205,0.0,82,0
Nova Scotia,2021-01-14,1548,6,65,0,0,0,4.199,0.0,1483,6
New Brunswick,2021-01-14,859,23,12,0,3,0,1.397,0.0,844,23
Manitoba,2021-01-14,26954,257,765,1,290,1,2.838,0.389,25899,255
Newfoundland and Labrador,2021-01-14,394,1,4,0,1,0,1.015,0.0,389,1
Saskatchewan,2021-01-14,19329,312,203,0,206,1,1.05,0.0,18920,311
Yukon,2021-01-14,83,0,1,0,0,0,1.205,0.0,82,0
Quebec,2021-01-14,229562,2049,8493,63,1525,9,3.7,3.075,219544,1977
British Columbia,2021-01-14,60102,495,1038,7,362,2,1.727,1.414,58702,486
Northwest Territories,2021-01-14,24,0,0,0,0,0,0.0,0.0,24,0
Prince Edward Island,2021-01-14,104,1,0,0,0,0,0.0,0.0,104,1
Nunavut,2021-01-14,266,0,1,0,0,0,0.376,0.0,265,0
Northwest Territories,2021-01-15,25,1,0,0,0,0,0.0,0.0,25,1
Nunavut,2021-01-15,266,0,1,0,0,0,0.376,0.0,265,0
New Brunswick,2021-01-15,884,25,12,0,4,1,1.357,0.0,868,24
Saskatchewan,2021-01-15,19715,386,207,4,210,4,1.05,1.036,19298,378
Newfoundland and Labrador,2021-01-15,395,1,4,0,1,0,1.013,0.0,390,1
Yukon,2021-01-15,83,0,1,0,0,0,1.205,0.0,82,0
Nova Scotia,2021-01-15,1550,2,65,0,0,0,4.194,0.0,1485,2
Prince Edward Island,2021-01-15,104,0,0,0,0,0,0.0,0.0,104,0
Newfoundland and Labrador,2021-01-16,395,0,4,0,1,0,1.013,0.0,390,0
Nova Scotia,2021-01-16,1554,4,65,0,0,0,4.183,0.0,1489,4
Prince Edward Island,2021-01-16,104,0,0,0,0,0,0.0,0.0,104,0
Yukon,2021-01-16,83,0,1,0,0,0,1.205,0.0,82,0
British Columbia,2021-01-16,61134,460,1047,0,349,0,1.713,0.0,59738,460
Nunavut,2021-01-16,266,0,1,0,0,0,0.376,0.0,265,0
Northwest Territories,2021-01-16,25,0,0,0,0,0,0.0,0.0,25,0
Manitoba,2021-01-17,27505,183,779,5,292,9,2.832,2.732,26434,169
Newfoundland and Labrador,2021-01-17,396,1,4,0,1,0,1.01,0.0,391,1
Nova Scotia,2021-01-17,1557,3,65,0,0,0,4.175,0.0,1492,3
Ontario,2021-01-17,242243,2085,5663,78,1632,20,2.338,3.741,234948,1987
Prince Edward Island,2021-01-17,104,0,0,0,0,0,0.0,0.0,104,0
Nunavut,2021-01-17,266,0,1,0,0,0,0.376,0.0,265,0
Northwest Territories,2021-01-17,28,3,0,0,0,0,0.0,0.0,28,3
British Columbia,2021-01-17,61450,316,1047,0,349,0,1.704,0.0,60054,316
Saskatchewan,2021-01-17,20272,287,212,3,203,4,1.046,1.045,19857,280
Yukon,2021-01-17,83,0,1,0,0,0,1.205,0.0,82,0
Northwest Territories,2021-01-18,28,0,0,0,0,0,0.0,0.0,28,0
New Brunswick,2021-01-18,973,26,12,0,1,0,1.233,0.0,960,26
Quebec,2021-01-18,236689,1374,8687,44,1492,32,3.67,3.202,226510,1298
Newfoundland and Labrador,2021-01-18,396,0,4,0,1,0,1.01,0.0,391,0
Yukon,2021-01-18,83,0,1,0,0,0,1.205,0.0,82,0
Nunavut,2021-01-18,266,0,1,0,0,0,0.376,0.0,265,0
Alberta,2021-01-18,117994,462,1463,16,739,1,1.24,3.463,115792,445
Saskatchewan,2021-01-18,20562,290,216,4,210,7,1.05,1.379,20136,279
Prince Edward Island,2021-01-18,108,4,0,0,0,0,0.0,0.0,108,4
Nova Scotia,2021-01-18,1557,0,65,0,0,0,4.175,0.0,1492,0
Prince Edward Island,2021-01-19,110,2,0,0,0,0,0.0,0.0,110,2
New Brunswick,2021-01-19,1004,31,13,1,1,0,1.295,3.226,990,30
Alberta,2021-01-19,118664,670,1484,21,740,1,1.251,3.134,116440,648
Newfoundland and Labrador,2021-01-19,396,0,4,0,1,0,1.01,0.0,391,0
Nunavut,2021-01-19,266,0,1,0,0,0,0.376,0.0,265,0
Quebec,2021-01-19,238063,1374,8739,52,1500,8,3.671,3.785,227824,1314
Northwest Territories,2021-01-19,30,2,0,0,0,0,0.0,0.0,30,2
Nova Scotia,2021-01-19,1561,4,65,0,0,0,4.164,0.0,1496,4
Yukon,2021-01-19,83,0,1,0,0,0,1.205,0.0,82,0
Nova Scotia,2021-01-20,1564,3,65,0,0,0,4.156,0.0,1499,3
Yukon,2021-01-20,83,0,1,0,0,0,1.205,0.0,82,0
Newfoundland and Labrador,2021-01-20,396,0,4,0,1,0,1.01,0.0,391,0
New Brunswick,2021-01-20,1025,21,13,0,2,1,1.268,0.0,1010,20
Northwest Territories,2021-01-20,30,0,0,0,0,0,0.0,0.0,30,0
Prince Edward Island,2021-01-20,110,0,0,0,0,0,0.0,0.0,110,0
Saskatchewan,2021-01-20,21112,241,226,4,207,0,1.07,1.66,20679,237
Alberta,2021-01-20,119336,672,1500,16,744,4,1.257,2.381,117092,652
Nunavut,2021-01-20,266,0,1,0,0,0,0.376,0.0,265,0
Nova Scotia,2021-01-21,1565,1,65,0,0,0,4.153,0.0,1500,1
Yukon,2021-01-21,83,0,1,0,0,0,1.205,0.0,82,0
Nunavut,2021-01-21,266,0,1,0,0,0,0.376,0.0,265,0
Prince Edward Island,2021-01-21,110,0,0,0,0,0,0.0,0.0,110,0
New Brunswick,2021-01-21,1057,32,13,0,3,1,1.23,0.0,1041,31
Newfoundland and Labrador,2021-01-21,397,1,4,0,1,0,1.008,0.0,392,1
Northwest Territories,2021-01-21,31,1,0,0,0,0,0.0,0.0,31,1
Manitoba,2021-01-22,28299,183,805,5,268,0,2.845,2.732,27226,178
Yukon,2021-01-22,83,0,1,0,0,0,1.205,0.0,82,0
Newfoundland and Labrador,2021-01-22,398,1,4,0,1,0,1.005,0.0,393,1
Northwest Territories,2021-01-22,31,0,0,0,0,0,0.0,0.0,31,0
New Brunswick,2021-01-22,1087,30,13,0,5,2,1.196,0.0,1069,28
Nova Scotia,2021-01-22,1570,5,65,0,0,0,4.14,0.0,1505,5
Nunavut,2021-01-22,267,1,1,0,0,0,0.375,0.0,266,1
British Columbia,2021-01-22,63903,484,1128,9,315,6,1.765,1.86,62460,469
Prince Edward Island,2021-01-22,110,0,0,0,0,0,0.0,0.0,110,0
Northwest Territories,2021-01-23,31,0,0,0,0,0,0.0,0.0,31,0
Prince Edward Island,2021-01-23,110,0,0,0,0,0,0.0,0.0,110,0
New Brunswick,2021-01-23,1104,17,13,0,5,0,1.178,0.0,1086,17
Nunavut,2021-01-23,267,0,1,0,0,0,0.375,0.0,266,0
Newfoundland and Labrador,2021-01-23,398,0,4,0,1,0,1.005,0.0,393,0
Saskatchewan,2021-01-23,21917,274,250,3,197,20,1.141,1.095,21470,251
Nova Scotia,2021-01-23,1570,0,65,0,0,0,4.14,0.0,1505,0
Yukon,2021-01-23,83,0,1,0,0,0,1.205,0.0,82,0
British Columbia,2021-01-23,64397,494,1128,0,315,0,1.752,0.0,62954,494
Manitoba,2021-01-24,28735,224,812,2,272,6,2.826,0.893,27651,216
Newfoundland and Labrador,2021-01-24,398,0,4,0,1,0,1.005,0.0,393,0
Yukon,2021-01-24,83,0,1,0,0,0,1.205,0.0,82,0
Ontario,2021-01-24,258360,1789,6065,52,1480,45,2.347,2.907,250815,1692
New Brunswick,2021-01-24,1124,20,13,0,5,0,1.157,0.0,1106,20
Nova Scotia,2021-01-24,1571,1,65,0,0,0,4.137,0.0,1506,1
Northwest Territories,2021-01-24,31,0,0,0,0,0,0.0,0.0,31,0
British Columbia,2021-01-24,64756,359,1128,0,315,0,1.742,0.0,63313,359
Prince Edward Island,2021-01-24,110,0,0,0,0,0,0.0,0.0,110,0
Nunavut,2021-01-24,280,13,1,0,0,0,0.357,0.0,279,13
Manitoba,2021-01-25,28866,131,818,6,272,0,2.834,4.58,27776,125
Saskatchewan,2021-01-25,22416,239,254,1,202,6,1.133,0.418,21960,232
Nunavut,2021-01-25,282,2,1,0,0,0,0.355,0.0,281,2
Northwest Territories,2021-01-25,31,0,0,0,0,0,0.0,0.0,31,0
Yukon,2021-01-25,83,0,1,0,0,0,1.205,0.0,82,0
Prince Edward Island,2021-01-25,110,0,0,0,0,0,0.0,0.0,110,0
British Columbia,2021-01-25,65090,334,1154,26,328,13,1.773,7.784,63608,295
Newfoundland and Labrador,2021-01-25,398,0,4,0,1,0,1.005,0.0,393,0
Nova Scotia,2021-01-25,1571,0,65,0,0,0,4.137,0.0,1506,0
New Brunswick,2021-01-25,1151,27,14,1,6,1,1.216,3.704,1131,25
Northwest Territories,2021-01-26,31,0,0,0,0,0,0.0,0.0,31,0
Nunavut,2021-01-26,282,0,1,0,0,0,0.355,0.0,281,0
Newfoundland and Labrador,2021-01-26,398,0,4,0,1,0,1.005,0.0,393,0
Saskatchewan,2021-01-26,22646,230,268,14,208,6,1.183,6.087,22170,210
Yukon,2021-01-26,83,0,1,0,0,0,1.205,0.0,82,0
Quebec,2021-01-26,248129,1176,9069,24,1325,4,3.655,2.041,237735,1148
Nova Scotia,2021-01-26,1572,1,65,0,0,0,4.135,0.0,1507,1
Prince Edward Island,2021-01-26,110,0,0,0,0,0,0.0,0.0,110,0
New Brunswick,2021-01-26,1161,10,14,0,7,1,1.206,0.0,1140,9
Saskatchewan,2021-01-27,22794,148,274,6,220,12,1.202,4.054,22300,130
Manitoba,2021-01-27,29018,88,829,6,281,11,2.857,6.818,27908,71
Newfoundland and Labrador,2021-01-27,400,2,4,0,1,0,1.0,0.0,395,2
Nova Scotia,2021-01-27,1576,4,65,0,0,0,4.124,0.0,1511,4
Prince Edward Island,2021-01-27,110,0,0,0,0,0,0.0,0.0,110,0
Nunavut,2021-01-27,282,0,1,0,0,0,0.355,0.0,281,0
Yukon,2021-01-27,83,0,1,0,0,0,1.205,0.0,82,0
Northwest Territories,2021-01-27,31,0,0,0,0,0,0.0,0.0,31,0
Prince Edward Island,2021-01-28,111,1,0,0,0,0,0.0,0.0,111,1
Nunavut,2021-01-28,283,1,1,0,0,0,0.353,0.0,282,1
Nova Scotia,2021-01-28,1576,0,65,0,1,1,4.124,0.0,1510,-1
Newfoundland and Labrador,2021-01-28,404,4,4,0,1,0,0.99,0.0,399,4
Yukon,2021-01-28,83,0,1,0,0,0,1.205,0.0,82,0
Northwest Territories,2021-01-28,31,0,0,0,0,0,0.0,0.0,31,0
Northwest Territories,2021-01-29,31,0,0,0,0,0,0.0,0.0,31,0
Nunavut,2021-01-29,283,0,1,0,0,0,0.353,0.0,282,0
Yukon,2021-01-29,83,0,1,0,0,0,1.205,0.0,82,0
Newfoundland and Labrador,2021-01-29,408,4,4,0,1,0,0.98,0.0,403,4
Prince Edward Island,2021-01-29,111,0,0,0,0,0,0.0,0.0,111,0
New Brunswick,2021-01-29,1218,16,17,1,4,0,1.396,6.25,1197,15
Saskatchewan,2021-01-29,23366,328,292,7,218,10,1.25,2.134,22856,311
Nova Scotia,2021-01-29,1577,1,65,0,1,0,4.122,0.0,1511,1
British Columbia,2021-01-29,67070,418,1189,5,292,1,1.773,1.196,65589,412
Alberta,2021-01-29,123564,388,1631,11,594,3,1.32,2.835,121339,374
British Columbia,2021-01-30,67548,478,1189,0,292,0,1.76,0.0,66067,478
Newfoundland and Labrador,2021-01-30,408,0,4,0,1,0,0.98,0.0,403,0
Prince Edward Island,2021-01-30,111,0,0,0,0,0,0.0,0.0,111,0
