Province,Date,Sex,Age,Cummulative number of people (Vaccinedose1)
Ontario,7/31/2021,All sexes,12–17,705484
Ontario,7/31/2021,All sexes,18–29,1778833
Ontario,7/31/2021,All sexes,30–39,1531841
Ontario,7/31/2021,All sexes,40–49,1488889
Ontario,7/31/2021,All sexes,50–59,1723386
Ontario,7/31/2021,All sexes,60–69,1591570
Ontario,7/31/2021,All sexes,70–79,1056201
Ontario,7/31/2021,All sexes,80+,603529
Ontario,7/31/2021,All sexes,All ages,10485065
Ontario,7/31/2021,All sexes,Not reported,0
Ontario,7/31/2021,All sexes,Unknown,5332
Ontario,7/31/2021,f,0–4,0
Ontario,7/31/2021,f,05–11,0
Ontario,7/31/2021,f,12–17,347733
Ontario,7/31/2021,f,18–29,884070
Ontario,7/31/2021,f,30–39,778586
Ontario,7/31/2021,f,40–49,777235
Ontario,7/31/2021,f,50–59,886703
Ontario,7/31/2021,f,60–69,825841
Ontario,7/31/2021,f,70–79,560177
Ontario,7/31/2021,f,80+,356618
Ontario,7/31/2021,f,All ages,5418440
Ontario,7/31/2021,f,Not reported,0
Ontario,7/31/2021,f,Unknown,1477
Ontario,7/31/2021,m,0–4,0
Ontario,7/31/2021,m,05–11,0
Ontario,7/31/2021,m,12–17,356185
Ontario,7/31/2021,m,18–29,888666
Ontario,7/31/2021,m,30–39,749360
Ontario,7/31/2021,m,40–49,708955
Ontario,7/31/2021,m,50–59,834188
Ontario,7/31/2021,m,60–69,764021
Ontario,7/31/2021,m,70–79,494845
Ontario,7/31/2021,m,80+,244129
Ontario,7/31/2021,m,All ages,5041825
Ontario,7/31/2021,m,Not reported,0
Ontario,7/31/2021,m,Unknown,1476
Ontario,7/31/2021,Other,0–4,0
Ontario,7/31/2021,Other,05–11,0
Ontario,7/31/2021,Other,12–17,0
Ontario,7/31/2021,Other,18–29,0
Ontario,7/31/2021,Other,30–39,0
Ontario,7/31/2021,Other,40–49,0
Ontario,7/31/2021,Other,50–59,0
Ontario,7/31/2021,Other,60–69,0
Ontario,7/31/2021,Other,70–79,0
Ontario,7/31/2021,Other,80+,0
Ontario,7/31/2021,Other,All ages,0
Ontario,7/31/2021,Other,Not reported,0
Ontario,7/31/2021,Other,Unknown,0
Ontario,7/31/2021,Unknown,0–4,0
Ontario,7/31/2021,Unknown,05–11,0
Ontario,7/31/2021,Unknown,12–17,1566
Ontario,7/31/2021,Unknown,18–29,6097
Ontario,7/31/2021,Unknown,30–39,3895
Ontario,7/31/2021,Unknown,40–49,2699
Ontario,7/31/2021,Unknown,50–59,2495
Ontario,7/31/2021,Unknown,60–69,1708
Ontario,7/31/2021,Unknown,70–79,1179
Ontario,7/31/2021,Unknown,80+,2782
Ontario,7/31/2021,Unknown,All ages,24800
Ontario,7/31/2021,Unknown,Not reported,0
Ontario,7/31/2021,Unknown,Unknown,2379
Ontario,7/31/2021,Not reported,0–4,0
Ontario,7/31/2021,Not reported,05–11,0
Ontario,7/31/2021,Not reported,12–17,0
Ontario,7/31/2021,Not reported,18–29,0
Ontario,7/31/2021,Not reported,30–39,0
Ontario,7/31/2021,Not reported,40–49,0
Ontario,7/31/2021,Not reported,50–59,0
Ontario,7/31/2021,Not reported,60–69,0
Ontario,7/31/2021,Not reported,70–79,0
Ontario,7/31/2021,Not reported,80+,0
Ontario,7/31/2021,Not reported,All ages,0
Ontario,7/31/2021,Not reported,Not reported,0
Ontario,7/31/2021,Not reported,Unknown,0
Manitoba,7/31/2021,All sexes,0–4,0
Manitoba,7/31/2021,All sexes,05–11,0
Manitoba,7/31/2021,All sexes,12–17,67239
Manitoba,7/31/2021,All sexes,18–29,169347
Manitoba,7/31/2021,All sexes,30–39,145665
Manitoba,7/31/2021,All sexes,40–49,138543
Manitoba,7/31/2021,All sexes,50–59,142593
Manitoba,7/31/2021,All sexes,60–69,144236
Manitoba,7/31/2021,All sexes,70–79,95176
Manitoba,7/31/2021,All sexes,80+,55999
Manitoba,7/31/2021,All sexes,All ages,958899
Manitoba,7/31/2021,All sexes,Not reported,0
Manitoba,7/31/2021,All sexes,Unknown,101
Manitoba,7/31/2021,f,0–4,0
Manitoba,7/31/2021,f,05–11,0
Manitoba,7/31/2021,f,12–17,33203
Manitoba,7/31/2021,f,18–29,83743
Manitoba,7/31/2021,f,30–39,74005
Manitoba,7/31/2021,f,40–49,70618
Manitoba,7/31/2021,f,50–59,72774
Manitoba,7/31/2021,f,60–69,73877
Manitoba,7/31/2021,f,70–79,50372
Manitoba,7/31/2021,f,80+,33738
Manitoba,7/31/2021,f,All ages,492360
Manitoba,7/31/2021,f,Not reported,0
Manitoba,7/31/2021,f,Unknown,30
Manitoba,7/31/2021,m,0–4,0
Manitoba,7/31/2021,m,05–11,0
Manitoba,7/31/2021,m,12–17,34006
Manitoba,7/31/2021,m,18–29,85115
Manitoba,7/31/2021,m,30–39,71535
Manitoba,7/31/2021,m,40–49,67878
Manitoba,7/31/2021,m,50–59,69775
Manitoba,7/31/2021,m,60–69,70284
Manitoba,7/31/2021,m,70–79,44761
Manitoba,7/31/2021,m,80+,22257
Manitoba,7/31/2021,m,All ages,465652
Manitoba,7/31/2021,m,Not reported,0
Manitoba,7/31/2021,m,Unknown,41
Manitoba,7/31/2021,Other,0–4,0
Manitoba,7/31/2021,Other,05–11,0
Manitoba,7/31/2021,Other,12–17,0
Manitoba,7/31/2021,Other,18–29,0
Manitoba,7/31/2021,Other,30–39,0
Manitoba,7/31/2021,Other,40–49,0
Manitoba,7/31/2021,Other,50–59,0
Manitoba,7/31/2021,Other,60–69,0
Manitoba,7/31/2021,Other,70–79,0
Manitoba,7/31/2021,Other,80+,0
Manitoba,7/31/2021,Other,All ages,0
Manitoba,7/31/2021,Other,Not reported,0
Manitoba,7/31/2021,Other,Unknown,0
Manitoba,7/31/2021,Unknown,0–4,0
Manitoba,7/31/2021,Unknown,05–11,0
Manitoba,7/31/2021,Unknown,12–17,30
Manitoba,7/31/2021,Unknown,18–29,489
Manitoba,7/31/2021,Unknown,30–39,125
Manitoba,7/31/2021,Unknown,40–49,47
Manitoba,7/31/2021,Unknown,50–59,44
Manitoba,7/31/2021,Unknown,60–69,75
Manitoba,7/31/2021,Unknown,70–79,43
Manitoba,7/31/2021,Unknown,80+,4
Manitoba,7/31/2021,Unknown,All ages,887
Manitoba,7/31/2021,Unknown,Not reported,0
Manitoba,7/31/2021,Unknown,Unknown,30
Manitoba,7/31/2021,Not reported,0–4,0
Manitoba,7/31/2021,Not reported,05–11,0
Manitoba,7/31/2021,Not reported,12–17,0
Manitoba,7/31/2021,Not reported,18–29,0
Manitoba,7/31/2021,Not reported,30–39,0
Manitoba,7/31/2021,Not reported,40–49,0
Manitoba,7/31/2021,Not reported,50–59,0
Manitoba,7/31/2021,Not reported,60–69,0
Manitoba,7/31/2021,Not reported,70–79,0
Manitoba,7/31/2021,Not reported,80+,0
Manitoba,7/31/2021,Not reported,All ages,0
Manitoba,7/31/2021,Not reported,Not reported,0
Manitoba,7/31/2021,Not reported,Unknown,0
Saskatchewan,7/31/2021,All sexes,0–4,5
Saskatchewan,7/31/2021,All sexes,05–11,40
Saskatchewan,7/31/2021,All sexes,12–17,56611
Saskatchewan,7/31/2021,All sexes,18–29,114310
Saskatchewan,7/31/2021,All sexes,30–39,116094
Saskatchewan,7/31/2021,All sexes,40–49,108716
Saskatchewan,7/31/2021,All sexes,50–59,112175
Saskatchewan,7/31/2021,All sexes,60–69,120288
Saskatchewan,7/31/2021,All sexes,70–79,73661
Saskatchewan,7/31/2021,All sexes,80+,47352
Saskatchewan,7/31/2021,All sexes,All ages,749424
Saskatchewan,7/31/2021,All sexes,Not reported,0
Saskatchewan,7/31/2021,All sexes,Unknown,172
Saskatchewan,7/31/2021,f,0–4,0
Saskatchewan,7/31/2021,f,05–11,10
Saskatchewan,7/31/2021,f,12–17,28213
Saskatchewan,7/31/2021,f,18–29,57863
Saskatchewan,7/31/2021,f,30–39,59523
Saskatchewan,7/31/2021,f,40–49,55294
Saskatchewan,7/31/2021,f,50–59,57420
Saskatchewan,7/31/2021,f,60–69,60745
Saskatchewan,7/31/2021,f,70–79,38113
Saskatchewan,7/31/2021,f,80+,28418
Saskatchewan,7/31/2021,f,All ages,385614
Saskatchewan,7/31/2021,f,Not reported,0
Saskatchewan,7/31/2021,f,Unknown,15
Saskatchewan,7/31/2021,m,0–4,5
Saskatchewan,7/31/2021,m,05–11,25
Saskatchewan,7/31/2021,m,12–17,28360
Saskatchewan,7/31/2021,m,18–29,56263
Saskatchewan,7/31/2021,m,30–39,56359
Saskatchewan,7/31/2021,m,40–49,53260
Saskatchewan,7/31/2021,m,50–59,54571
Saskatchewan,7/31/2021,m,60–69,59334
Saskatchewan,7/31/2021,m,70–79,35461
Saskatchewan,7/31/2021,m,80+,18902
Saskatchewan,7/31/2021,m,All ages,362557
Saskatchewan,7/31/2021,m,Not reported,0
Saskatchewan,7/31/2021,m,Unknown,17
Saskatchewan,7/31/2021,Other,0–4,0
Saskatchewan,7/31/2021,Other,05–11,0
Saskatchewan,7/31/2021,Other,12–17,0
Saskatchewan,7/31/2021,Other,18–29,0
Saskatchewan,7/31/2021,Other,30–39,0
Saskatchewan,7/31/2021,Other,40–49,0
Saskatchewan,7/31/2021,Other,50–59,0
Saskatchewan,7/31/2021,Other,60–69,0
Saskatchewan,7/31/2021,Other,70–79,0
Saskatchewan,7/31/2021,Other,80+,0
Saskatchewan,7/31/2021,Other,All ages,0
Saskatchewan,7/31/2021,Other,Not reported,0
Saskatchewan,7/31/2021,Other,Unknown,0
Saskatchewan,7/31/2021,Unknown,0–4,0
Saskatchewan,7/31/2021,Unknown,05–11,5
Saskatchewan,7/31/2021,Unknown,12–17,38
Saskatchewan,7/31/2021,Unknown,18–29,184
Saskatchewan,7/31/2021,Unknown,30–39,212
Saskatchewan,7/31/2021,Unknown,40–49,162
Saskatchewan,7/31/2021,Unknown,50–59,184
Saskatchewan,7/31/2021,Unknown,60–69,209
Saskatchewan,7/31/2021,Unknown,70–79,87
Saskatchewan,7/31/2021,Unknown,80+,32
Saskatchewan,7/31/2021,Unknown,All ages,1253
Saskatchewan,7/31/2021,Unknown,Not reported,0
Saskatchewan,7/31/2021,Unknown,Unknown,140
Saskatchewan,7/31/2021,Not reported,0–4,0
Saskatchewan,7/31/2021,Not reported,05–11,0
Saskatchewan,7/31/2021,Not reported,12–17,0
Saskatchewan,7/31/2021,Not reported,18–29,0
Saskatchewan,7/31/2021,Not reported,30–39,0
Saskatchewan,7/31/2021,Not reported,40–49,0
Saskatchewan,7/31/2021,Not reported,50–59,0
Saskatchewan,7/31/2021,Not reported,60–69,0
Saskatchewan,7/31/2021,Not reported,70–79,0
Saskatchewan,7/31/2021,Not reported,80+,0
Saskatchewan,7/31/2021,Not reported,All ages,0
Saskatchewan,7/31/2021,Not reported,Not reported,0
Saskatchewan,7/31/2021,Not reported,Unknown,0
Alberta,7/31/2021,All sexes,0–4,0
Alberta,7/31/2021,All sexes,05–11,0
Alberta,7/31/2021,All sexes,12–17,207387
Alberta,7/31/2021,All sexes,18–29,440227
Alberta,7/31/2021,All sexes,30–39,478798
Alberta,7/31/2021,All sexes,40–49,450695
Alberta,7/31/2021,All sexes,50–59,436375
Alberta,7/31/2021,All sexes,60–69,415513
Alberta,7/31/2021,All sexes,70–79,239149
Alberta,7/31/2021,All sexes,80+,126990
Alberta,7/31/2021,All sexes,All ages,2825516
Alberta,7/31/2021,All sexes,Not reported,0
Alberta,7/31/2021,All sexes,Unknown,30382
Alberta,7/31/2021,f,0–4,0
Alberta,7/31/2021,f,05–11,0
Alberta,7/31/2021,f,12–17,102428
Alberta,7/31/2021,f,18–29,224997
Alberta,7/31/2021,f,30–39,245626
Alberta,7/31/2021,f,40–49,229610
Alberta,7/31/2021,f,50–59,222192
Alberta,7/31/2021,f,60–69,211395
Alberta,7/31/2021,f,70–79,124544
Alberta,7/31/2021,f,80+,74491
Alberta,7/31/2021,f,All ages,1442828
Alberta,7/31/2021,f,Not reported,0
Alberta,7/31/2021,f,Unknown,7545
Alberta,7/31/2021,m,0–4,0
Alberta,7/31/2021,m,05–11,0
Alberta,7/31/2021,m,12–17,104877
Alberta,7/31/2021,m,18–29,215062
Alberta,7/31/2021,m,30–39,233112
Alberta,7/31/2021,m,40–49,221068
Alberta,7/31/2021,m,50–59,214161
Alberta,7/31/2021,m,60–69,204114
Alberta,7/31/2021,m,70–79,114598
Alberta,7/31/2021,m,80+,52497
Alberta,7/31/2021,m,All ages,1367526
Alberta,7/31/2021,m,Not reported,0
Alberta,7/31/2021,m,Unknown,8037
Alberta,7/31/2021,Other,0–4,0
Alberta,7/31/2021,Other,05–11,0
Alberta,7/31/2021,Other,12–17,0
Alberta,7/31/2021,Other,18–29,0
Alberta,7/31/2021,Other,30–39,0
Alberta,7/31/2021,Other,40–49,0
Alberta,7/31/2021,Other,50–59,0
Alberta,7/31/2021,Other,60–69,0
Alberta,7/31/2021,Other,70–79,0
Alberta,7/31/2021,Other,80+,0
Alberta,7/31/2021,Other,All ages,0
Alberta,7/31/2021,Other,Not reported,0
Alberta,7/31/2021,Other,Unknown,0
Alberta,7/31/2021,Unknown,0–4,0
Alberta,7/31/2021,Unknown,05–11,0
Alberta,7/31/2021,Unknown,12–17,82
Alberta,7/31/2021,Unknown,18–29,168
Alberta,7/31/2021,Unknown,30–39,60
Alberta,7/31/2021,Unknown,40–49,17
Alberta,7/31/2021,Unknown,50–59,22
Alberta,7/31/2021,Unknown,60–69,4
Alberta,7/31/2021,Unknown,70–79,7
Alberta,7/31/2021,Unknown,80+,2
Alberta,7/31/2021,Unknown,All ages,15162
Alberta,7/31/2021,Unknown,Not reported,0
Alberta,7/31/2021,Unknown,Unknown,14800
Alberta,7/31/2021,Not reported,0–4,0
Alberta,7/31/2021,Not reported,05–11,0
Alberta,7/31/2021,Not reported,12–17,0
Alberta,7/31/2021,Not reported,18–29,0
Alberta,7/31/2021,Not reported,30–39,0
Alberta,7/31/2021,Not reported,40–49,0
Alberta,7/31/2021,Not reported,50–59,0
Alberta,7/31/2021,Not reported,60–69,0
Alberta,7/31/2021,Not reported,70–79,0
Alberta,7/31/2021,Not reported,80+,0
Alberta,7/31/2021,Not reported,All ages,0
Alberta,7/31/2021,Not reported,Not reported,0
Alberta,7/31/2021,Not reported,Unknown,0
British Columbia,7/31/2021,All sexes,0–4,0
British Columbia,7/31/2021,All sexes,05–11,10225
British Columbia,7/31/2021,All sexes,12–17,217520
British Columbia,7/31/2021,All sexes,18–29,605984
British Columbia,7/31/2021,All sexes,30–39,576235
British Columbia,7/31/2021,All sexes,40–49,524162
British Columbia,7/31/2021,All sexes,50–59,583061
British Columbia,7/31/2021,All sexes,60–69,595764
British Columbia,7/31/2021,All sexes,70–79,415094
British Columbia,7/31/2021,All sexes,80+,229438
British Columbia,7/31/2021,All sexes,All ages,3757483
British Columbia,7/31/2021,All sexes,Not reported,0
British Columbia,7/31/2021,All sexes,Unknown,0
British Columbia,7/31/2021,f,0–4,0
British Columbia,7/31/2021,f,05–11,5013
British Columbia,7/31/2021,f,12–17,107720
British Columbia,7/31/2021,f,18–29,307749
British Columbia,7/31/2021,f,30–39,292802
British Columbia,7/31/2021,f,40–49,273066
British Columbia,7/31/2021,f,50–59,303690
British Columbia,7/31/2021,f,60–69,311125
British Columbia,7/31/2021,f,70–79,216379
British Columbia,7/31/2021,f,80+,130613
British Columbia,7/31/2021,f,All ages,1948157
British Columbia,7/31/2021,f,Not reported,0
British Columbia,7/31/2021,f,Unknown,0
British Columbia,7/31/2021,m,0–4,0
British Columbia,7/31/2021,m,05–11,5211
British Columbia,7/31/2021,m,12–17,109785
British Columbia,7/31/2021,m,18–29,298019
British Columbia,7/31/2021,m,30–39,283288
British Columbia,7/31/2021,m,40–49,250999
British Columbia,7/31/2021,m,50–59,279298
British Columbia,7/31/2021,m,60–69,284575
British Columbia,7/31/2021,m,70–79,198686
British Columbia,7/31/2021,m,80+,98815
British Columbia,7/31/2021,m,All ages,1808676
British Columbia,7/31/2021,m,Not reported,0
British Columbia,7/31/2021,m,Unknown,0
British Columbia,7/31/2021,Other,0–4,0
British Columbia,7/31/2021,Other,05–11,1
British Columbia,7/31/2021,Other,12–17,3
British Columbia,7/31/2021,Other,18–29,40
British Columbia,7/31/2021,Other,30–39,18
British Columbia,7/31/2021,Other,40–49,8
British Columbia,7/31/2021,Other,50–59,2
British Columbia,7/31/2021,Other,60–69,3
British Columbia,7/31/2021,Other,70–79,0
British Columbia,7/31/2021,Other,80+,0
British Columbia,7/31/2021,Other,All ages,75
British Columbia,7/31/2021,Other,Not reported,0
British Columbia,7/31/2021,Other,Unknown,0
British Columbia,7/31/2021,Unknown,0–4,0
British Columbia,7/31/2021,Unknown,05–11,0
British Columbia,7/31/2021,Unknown,12–17,12
British Columbia,7/31/2021,Unknown,18–29,176
British Columbia,7/31/2021,Unknown,30–39,127
British Columbia,7/31/2021,Unknown,40–49,89
British Columbia,7/31/2021,Unknown,50–59,71
British Columbia,7/31/2021,Unknown,60–69,61
British Columbia,7/31/2021,Unknown,70–79,29
British Columbia,7/31/2021,Unknown,80+,10
British Columbia,7/31/2021,Unknown,All ages,575
British Columbia,7/31/2021,Unknown,Not reported,0
British Columbia,7/31/2021,Unknown,Unknown,0
British Columbia,7/31/2021,Not reported,0–4,0
British Columbia,7/31/2021,Not reported,05–11,0
British Columbia,7/31/2021,Not reported,12–17,0
British Columbia,7/31/2021,Not reported,18–29,0
British Columbia,7/31/2021,Not reported,30–39,0
British Columbia,7/31/2021,Not reported,40–49,0
British Columbia,7/31/2021,Not reported,50–59,0
British Columbia,7/31/2021,Not reported,60–69,0
British Columbia,7/31/2021,Not reported,70–79,0
British Columbia,7/31/2021,Not reported,80+,0
British Columbia,7/31/2021,Not reported,All ages,0
British Columbia,7/31/2021,Not reported,Not reported,0
British Columbia,7/31/2021,Not reported,Unknown,0
Yukon,7/31/2021,All sexes,0–4,0
Yukon,7/31/2021,All sexes,05–11,14
Yukon,7/31/2021,All sexes,12–17,1963
Yukon,7/31/2021,All sexes,18–29,5261
Yukon,7/31/2021,All sexes,30–39,6254
Yukon,7/31/2021,All sexes,40–49,5076
Yukon,7/31/2021,All sexes,50–59,4971
Yukon,7/31/2021,All sexes,60–69,4925
Yukon,7/31/2021,All sexes,70–79,2532
Yukon,7/31/2021,All sexes,80+,798
Yukon,7/31/2021,All sexes,All ages,31870
Yukon,7/31/2021,All sexes,Not reported,0
Yukon,7/31/2021,All sexes,Unknown,76
Yukon,7/31/2021,f,0–4,0
Yukon,7/31/2021,f,05–11,8
Yukon,7/31/2021,f,12–17,955
Yukon,7/31/2021,f,18–29,2653
Yukon,7/31/2021,f,30–39,3217
Yukon,7/31/2021,f,40–49,2650
Yukon,7/31/2021,f,50–59,2497
Yukon,7/31/2021,f,60–69,2414
Yukon,7/31/2021,f,70–79,1179
Yukon,7/31/2021,f,80+,412
Yukon,7/31/2021,f,All ages,15985
Yukon,7/31/2021,f,Not reported,0
Yukon,7/31/2021,f,Unknown,0
Yukon,7/31/2021,m,0–4,0
Yukon,7/31/2021,m,05–11,6
Yukon,7/31/2021,m,12–17,1008
Yukon,7/31/2021,m,18–29,2592
Yukon,7/31/2021,m,30–39,3030
Yukon,7/31/2021,m,40–49,2410
Yukon,7/31/2021,m,50–59,2461
Yukon,7/31/2021,m,60–69,2511
Yukon,7/31/2021,m,70–79,1341
Yukon,7/31/2021,m,80+,386
Yukon,7/31/2021,m,All ages,15745
Yukon,7/31/2021,m,Not reported,0
Yukon,7/31/2021,m,Unknown,0
Yukon,7/31/2021,Other,0–4,0
Yukon,7/31/2021,Other,05–11,0
Yukon,7/31/2021,Other,12–17,0
Yukon,7/31/2021,Other,18–29,0
Yukon,7/31/2021,Other,30–39,0
Yukon,7/31/2021,Other,40–49,0
Yukon,7/31/2021,Other,50–59,0
Yukon,7/31/2021,Other,60–69,0
Yukon,7/31/2021,Other,70–79,0
Yukon,7/31/2021,Other,80+,0
Yukon,7/31/2021,Other,All ages,0
Yukon,7/31/2021,Other,Not reported,0
Yukon,7/31/2021,Other,Unknown,0
Yukon,7/31/2021,Unknown,0–4,0
Yukon,7/31/2021,Unknown,05–11,0
Yukon,7/31/2021,Unknown,12–17,0
Yukon,7/31/2021,Unknown,18–29,16
Yukon,7/31/2021,Unknown,30–39,7
Yukon,7/31/2021,Unknown,40–49,16
Yukon,7/31/2021,Unknown,50–59,13
Yukon,7/31/2021,Unknown,60–69,0
Yukon,7/31/2021,Unknown,70–79,12
Yukon,7/31/2021,Unknown,80+,0
Yukon,7/31/2021,Unknown,All ages,140
Yukon,7/31/2021,Unknown,Not reported,0
Yukon,7/31/2021,Unknown,Unknown,76
Yukon,7/31/2021,Not reported,0–4,0
Yukon,7/31/2021,Not reported,05–11,0
Yukon,7/31/2021,Not reported,12–17,0
Yukon,7/31/2021,Not reported,18–29,0
Yukon,7/31/2021,Not reported,30–39,0
Yukon,7/31/2021,Not reported,40–49,0
Yukon,7/31/2021,Not reported,50–59,0
Yukon,7/31/2021,Not reported,60–69,0
Yukon,7/31/2021,Not reported,70–79,0
Yukon,7/31/2021,Not reported,80+,0
Yukon,7/31/2021,Not reported,All ages,0
Yukon,7/31/2021,Not reported,Not reported,0
Yukon,7/31/2021,Not reported,Unknown,0
Northwest Territories,7/31/2021,All sexes,0–4,0
Northwest Territories,7/31/2021,All sexes,05–11,112
Northwest Territories,7/31/2021,All sexes,12–17,2312
Northwest Territories,7/31/2021,All sexes,18–29,4793
Northwest Territories,7/31/2021,All sexes,30–39,5147
Northwest Territories,7/31/2021,All sexes,40–49,4707
Northwest Territories,7/31/2021,All sexes,50–59,4961
Northwest Territories,7/31/2021,All sexes,60–69,3729
Northwest Territories,7/31/2021,All sexes,70–79,1707
Northwest Territories,7/31/2021,All sexes,80+,551
Northwest Territories,7/31/2021,All sexes,All ages,28087
Northwest Territories,7/31/2021,All sexes,Not reported,0
Northwest Territories,7/31/2021,All sexes,Unknown,68
Northwest Territories,7/31/2021,f,0–4,0
Northwest Territories,7/31/2021,f,05–11,60
Northwest Territories,7/31/2021,f,12–17,1151
Northwest Territories,7/31/2021,f,18–29,2447
Northwest Territories,7/31/2021,f,30–39,2765
Northwest Territories,7/31/2021,f,40–49,2493
Northwest Territories,7/31/2021,f,50–59,2426
Northwest Territories,7/31/2021,f,60–69,1763
Northwest Territories,7/31/2021,f,70–79,787
Northwest Territories,7/31/2021,f,80+,295
Northwest Territories,7/31/2021,f,All ages,14187
Northwest Territories,7/31/2021,f,Not reported,0
Northwest Territories,7/31/2021,f,Unknown,0
Northwest Territories,7/31/2021,m,0–4,0
Northwest Territories,7/31/2021,m,05–11,52
Northwest Territories,7/31/2021,m,12–17,1161
Northwest Territories,7/31/2021,m,18–29,2333
Northwest Territories,7/31/2021,m,30–39,2369
Northwest Territories,7/31/2021,m,40–49,2204
Northwest Territories,7/31/2021,m,50–59,2525
Northwest Territories,7/31/2021,m,60–69,1966
Northwest Territories,7/31/2021,m,70–79,920
Northwest Territories,7/31/2021,m,80+,256
Northwest Territories,7/31/2021,m,All ages,13786
Northwest Territories,7/31/2021,m,Not reported,0
Northwest Territories,7/31/2021,m,Unknown,0
Northwest Territories,7/31/2021,Other,0–4,0
Northwest Territories,7/31/2021,Other,05–11,0
Northwest Territories,7/31/2021,Other,12–17,0
Northwest Territories,7/31/2021,Other,18–29,0
Northwest Territories,7/31/2021,Other,30–39,0
Northwest Territories,7/31/2021,Other,40–49,0
Northwest Territories,7/31/2021,Other,50–59,0
Northwest Territories,7/31/2021,Other,60–69,0
Northwest Territories,7/31/2021,Other,70–79,0
Northwest Territories,7/31/2021,Other,80+,0
Northwest Territories,7/31/2021,Other,All ages,0
Northwest Territories,7/31/2021,Other,Not reported,0
Northwest Territories,7/31/2021,Other,Unknown,0
Northwest Territories,7/31/2021,Unknown,0–4,0
Northwest Territories,7/31/2021,Unknown,05–11,0
Northwest Territories,7/31/2021,Unknown,12–17,0
Northwest Territories,7/31/2021,Unknown,18–29,13
Northwest Territories,7/31/2021,Unknown,30–39,13
Northwest Territories,7/31/2021,Unknown,40–49,10
Northwest Territories,7/31/2021,Unknown,50–59,10
Northwest Territories,7/31/2021,Unknown,60–69,0
Northwest Territories,7/31/2021,Unknown,70–79,0
Northwest Territories,7/31/2021,Unknown,80+,0
Northwest Territories,7/31/2021,Unknown,All ages,114
Northwest Territories,7/31/2021,Unknown,Not reported,0
Northwest Territories,7/31/2021,Unknown,Unknown,68
Northwest Territories,7/31/2021,Not reported,0–4,0
Northwest Territories,7/31/2021,Not reported,05–11,0
Northwest Territories,7/31/2021,Not reported,12–17,0
Northwest Territories,7/31/2021,Not reported,18–29,0
Northwest Territories,7/31/2021,Not reported,30–39,0
Northwest Territories,7/31/2021,Not reported,40–49,0
Northwest Territories,7/31/2021,Not reported,50–59,0
Northwest Territories,7/31/2021,Not reported,60–69,0
Northwest Territories,7/31/2021,Not reported,70–79,0
Northwest Territories,7/31/2021,Not reported,80+,0
Northwest Territories,7/31/2021,Not reported,All ages,0
Northwest Territories,7/31/2021,Not reported,Not reported,0
Northwest Territories,7/31/2021,Not reported,Unknown,0
Nunavut,7/31/2021,All sexes,0–4,0
Nunavut,7/31/2021,All sexes,05–11,0
Nunavut,7/31/2021,All sexes,12–17,2593
Nunavut,7/31/2021,All sexes,18–29,5321
Nunavut,7/31/2021,All sexes,30–39,4586
Nunavut,7/31/2021,All sexes,40–49,3770
Nunavut,7/31/2021,All sexes,50–59,3662
Nunavut,7/31/2021,All sexes,60–69,2008
Nunavut,7/31/2021,All sexes,70–79,691
Nunavut,7/31/2021,All sexes,80+,169
Nunavut,7/31/2021,All sexes,All ages,22932
Nunavut,7/31/2021,All sexes,Not reported,0
Nunavut,7/31/2021,All sexes,Unknown,132
Nunavut,7/31/2021,f,0–4,0
Nunavut,7/31/2021,f,05–11,0
Nunavut,7/31/2021,f,12–17,1361
Nunavut,7/31/2021,f,18–29,2739
Nunavut,7/31/2021,f,30–39,2273
Nunavut,7/31/2021,f,40–49,1746
Nunavut,7/31/2021,f,50–59,1666
Nunavut,7/31/2021,f,60–69,902
Nunavut,7/31/2021,f,70–79,323
Nunavut,7/31/2021,f,80+,96
Nunavut,7/31/2021,f,All ages,11106
Nunavut,7/31/2021,f,Not reported,0
Nunavut,7/31/2021,f,Unknown,0
Nunavut,7/31/2021,m,0–4,0
Nunavut,7/31/2021,m,05–11,0
Nunavut,7/31/2021,m,12–17,1232
Nunavut,7/31/2021,m,18–29,2582
Nunavut,7/31/2021,m,30–39,2313
Nunavut,7/31/2021,m,40–49,2024
Nunavut,7/31/2021,m,50–59,1996
Nunavut,7/31/2021,m,60–69,1106
Nunavut,7/31/2021,m,70–79,368
Nunavut,7/31/2021,m,80+,73
Nunavut,7/31/2021,m,All ages,11694
Nunavut,7/31/2021,m,Not reported,0
Nunavut,7/31/2021,m,Unknown,0
Nunavut,7/31/2021,Other,0–4,0
Nunavut,7/31/2021,Other,05–11,0
Nunavut,7/31/2021,Other,12–17,0
Nunavut,7/31/2021,Other,18–29,0
Nunavut,7/31/2021,Other,30–39,0
Nunavut,7/31/2021,Other,40–49,0
Nunavut,7/31/2021,Other,50–59,0
Nunavut,7/31/2021,Other,60–69,0
Nunavut,7/31/2021,Other,70–79,0
Nunavut,7/31/2021,Other,80+,0
Nunavut,7/31/2021,Other,All ages,0
Nunavut,7/31/2021,Other,Not reported,0
Nunavut,7/31/2021,Other,Unknown,0
Nunavut,7/31/2021,Unknown,0–4,0
Nunavut,7/31/2021,Unknown,05–11,0
Nunavut,7/31/2021,Unknown,12–17,0
Nunavut,7/31/2021,Unknown,18–29,0
Nunavut,7/31/2021,Unknown,30–39,0
