Province,Date,Sex,Age,Cummulative number of people (Vaccinedose1)
Nova Scotia,12/19/2020,Unknown,Unknown,0
Nova Scotia,12/19/2020,Not reported,0–15,0
Nova Scotia,12/19/2020,Not reported,16–69,0
Nova Scotia,12/19/2020,Not reported,70–74,0
Nova Scotia,12/19/2020,Not reported,75–79,0
Nova Scotia,12/19/2020,Not reported,80+,0
Nova Scotia,12/19/2020,Not reported,All ages,0
Nova Scotia,12/19/2020,Not reported,Not reported,0
Nova Scotia,12/19/2020,Not reported,Unknown,0
Quebec,12/19/2020,All sexes,0–15,0
Quebec,12/19/2020,All sexes,16–69,4285
Quebec,12/19/2020,All sexes,70–74,55
Quebec,12/19/2020,All sexes,75–79,54
Quebec,12/19/2020,All sexes,80+,334
Quebec,12/19/2020,All sexes,All ages,4728
Quebec,12/19/2020,All sexes,Not reported,0
Quebec,12/19/2020,All sexes,Unknown,0
Quebec,12/19/2020,f,0–15,0
Quebec,12/19/2020,f,16–69,3078
Quebec,12/19/2020,f,70–74,26
Quebec,12/19/2020,f,75–79,36
Quebec,12/19/2020,f,80+,241
Quebec,12/19/2020,f,All ages,3381
Quebec,12/19/2020,f,Not reported,0
Quebec,12/19/2020,f,Unknown,0
Quebec,12/19/2020,m,0–15,0
Quebec,12/19/2020,m,16–69,1200
Quebec,12/19/2020,m,70–74,29
Quebec,12/19/2020,m,75–79,18
Quebec,12/19/2020,m,80+,93
Quebec,12/19/2020,m,All ages,1340
Quebec,12/19/2020,m,Not reported,0
Quebec,12/19/2020,m,Unknown,0
Quebec,12/19/2020,Unknown,0–15,0
Quebec,12/19/2020,Unknown,16–69,7
Quebec,12/19/2020,Unknown,70–74,0
Quebec,12/19/2020,Unknown,75–79,0
Quebec,12/19/2020,Unknown,80+,0
Quebec,12/19/2020,Unknown,All ages,7
Quebec,12/19/2020,Unknown,Not reported,0
Quebec,12/19/2020,Unknown,Unknown,0
Quebec,12/19/2020,Not reported,0–15,0
Quebec,12/19/2020,Not reported,16–69,0
Quebec,12/19/2020,Not reported,70–74,0
Quebec,12/19/2020,Not reported,75–79,0
Quebec,12/19/2020,Not reported,80+,0
Quebec,12/19/2020,Not reported,All ages,0
Quebec,12/19/2020,Not reported,Not reported,0
Quebec,12/19/2020,Not reported,Unknown,0
Manitoba,12/19/2020,All sexes,0–15,0
Manitoba,12/19/2020,All sexes,16–69,820
Manitoba,12/19/2020,All sexes,70–74,57
Manitoba,12/19/2020,All sexes,75–79,17
Manitoba,12/19/2020,All sexes,80+,0
Manitoba,12/19/2020,All sexes,All ages,894
Manitoba,12/19/2020,All sexes,Not reported,0
Manitoba,12/19/2020,All sexes,Unknown,0
Manitoba,12/19/2020,f,0–15,0
Manitoba,12/19/2020,f,16–69,543
Manitoba,12/19/2020,f,70–74,28
Manitoba,12/19/2020,f,75–79,5
Manitoba,12/19/2020,f,80+,0
Manitoba,12/19/2020,f,All ages,576
Manitoba,12/19/2020,f,Not reported,0
Manitoba,12/19/2020,f,Unknown,0
Manitoba,12/19/2020,m,0–15,0
Manitoba,12/19/2020,m,16–69,277
Manitoba,12/19/2020,m,70–74,29
Manitoba,12/19/2020,m,75–79,12
Manitoba,12/19/2020,m,80+,0
Manitoba,12/19/2020,m,All ages,318
Manitoba,12/19/2020,m,Not reported,0
Manitoba,12/19/2020,m,Unknown,0
Manitoba,12/19/2020,Unknown,0–15,0
Manitoba,12/19/2020,Unknown,16–69,0
Manitoba,12/19/2020,Unknown,70–74,0
Manitoba,12/19/2020,Unknown,75–79,0
Manitoba,12/19/2020,Unknown,80+,0
Manitoba,12/19/2020,Unknown,All ages,0
Manitoba,12/19/2020,Unknown,Not reported,0
Manitoba,12/19/2020,Unknown,Unknown,0
Manitoba,12/19/2020,Not reported,0–15,0
Manitoba,12/19/2020,Not reported,16–69,0
Manitoba,12/19/2020,Not reported,70–74,0
Manitoba,12/19/2020,Not reported,75–79,0
Manitoba,12/19/2020,Not reported,80+,0
Manitoba,12/19/2020,Not reported,All ages,0
Manitoba,12/19/2020,Not reported,Not reported,0
Manitoba,12/19/2020,Not reported,Unknown,0
Saskatchewan,12/19/2020,All sexes,0–15,0
Saskatchewan,12/19/2020,All sexes,16–69,1042
Saskatchewan,12/19/2020,All sexes,70–74,0
Saskatchewan,12/19/2020,All sexes,75–79,0
Saskatchewan,12/19/2020,All sexes,80+,0
Saskatchewan,12/19/2020,All sexes,All ages,1048
Saskatchewan,12/19/2020,All sexes,Not reported,0
Saskatchewan,12/19/2020,All sexes,Unknown,6
Saskatchewan,12/19/2020,f,0–15,0
Saskatchewan,12/19/2020,f,16–69,833
Saskatchewan,12/19/2020,f,70–74,0
Saskatchewan,12/19/2020,f,75–79,0
Saskatchewan,12/19/2020,f,80+,0
Saskatchewan,12/19/2020,f,All ages,833
Saskatchewan,12/19/2020,f,Not reported,0
Saskatchewan,12/19/2020,f,Unknown,0
Saskatchewan,12/19/2020,m,0–15,0
Saskatchewan,12/19/2020,m,16–69,209
Saskatchewan,12/19/2020,m,70–74,0
Saskatchewan,12/19/2020,m,75–79,0
Saskatchewan,12/19/2020,m,80+,0
Saskatchewan,12/19/2020,m,All ages,209
Saskatchewan,12/19/2020,m,Not reported,0
Saskatchewan,12/19/2020,m,Unknown,0
Saskatchewan,12/19/2020,Unknown,0–15,0
Saskatchewan,12/19/2020,Unknown,16–69,0
Saskatchewan,12/19/2020,Unknown,70–74,0
Saskatchewan,12/19/2020,Unknown,75–79,0
Saskatchewan,12/19/2020,Unknown,80+,0
Saskatchewan,12/19/2020,Unknown,All ages,6
Saskatchewan,12/19/2020,Unknown,Not reported,0
Saskatchewan,12/19/2020,Unknown,Unknown,6
Saskatchewan,12/19/2020,Not reported,0–15,0
Saskatchewan,12/19/2020,Not reported,16–69,0
Saskatchewan,12/19/2020,Not reported,70–74,0
Saskatchewan,12/19/2020,Not reported,75–79,0
Saskatchewan,12/19/2020,Not reported,80+,0
Saskatchewan,12/19/2020,Not reported,All ages,0
Saskatchewan,12/19/2020,Not reported,Not reported,0
Saskatchewan,12/19/2020,Not reported,Unknown,0
British Columbia,12/19/2020,All sexes,0–15,2
British Columbia,12/19/2020,All sexes,16–69,3575
British Columbia,12/19/2020,All sexes,70–74,46
British Columbia,12/19/2020,All sexes,75–79,10
British Columbia,12/19/2020,All sexes,80+,1
British Columbia,12/19/2020,All sexes,All ages,3634
British Columbia,12/19/2020,All sexes,Not reported,0
British Columbia,12/19/2020,All sexes,Unknown,0
British Columbia,12/19/2020,f,0–15,1
British Columbia,12/19/2020,f,16–69,2726
British Columbia,12/19/2020,f,70–74,32
British Columbia,12/19/2020,f,75–79,5
British Columbia,12/19/2020,f,80+,0
British Columbia,12/19/2020,f,All ages,2764
British Columbia,12/19/2020,f,Not reported,0
British Columbia,12/19/2020,f,Unknown,0
British Columbia,12/19/2020,m,0–15,1
British Columbia,12/19/2020,m,16–69,849
British Columbia,12/19/2020,m,70–74,14
British Columbia,12/19/2020,m,75–79,5
British Columbia,12/19/2020,m,80+,1
British Columbia,12/19/2020,m,All ages,870
British Columbia,12/19/2020,m,Not reported,0
British Columbia,12/19/2020,m,Unknown,0
British Columbia,12/19/2020,Unknown,0–15,0
British Columbia,12/19/2020,Unknown,16–69,0
British Columbia,12/19/2020,Unknown,70–74,0
British Columbia,12/19/2020,Unknown,75–79,0
British Columbia,12/19/2020,Unknown,80+,0
British Columbia,12/19/2020,Unknown,All ages,0
British Columbia,12/19/2020,Unknown,Not reported,0
British Columbia,12/19/2020,Unknown,Unknown,0
British Columbia,12/19/2020,Not reported,0–15,0
British Columbia,12/19/2020,Not reported,16–69,0
British Columbia,12/19/2020,Not reported,70–74,0
British Columbia,12/19/2020,Not reported,75–79,0
British Columbia,12/19/2020,Not reported,80+,0
British Columbia,12/19/2020,Not reported,All ages,0
British Columbia,12/19/2020,Not reported,Not reported,0
British Columbia,12/19/2020,Not reported,Unknown,0
Yukon,12/19/2020,All sexes,0–15,0
Yukon,12/19/2020,All sexes,16–69,0
Yukon,12/19/2020,All sexes,70–74,0
Yukon,12/19/2020,All sexes,75–79,0
Yukon,12/19/2020,All sexes,80+,0
Yukon,12/19/2020,All sexes,All ages,0
Yukon,12/19/2020,All sexes,Not reported,0
Yukon,12/19/2020,All sexes,Unknown,0
Yukon,12/19/2020,f,0–15,0
Yukon,12/19/2020,f,16–69,0
Yukon,12/19/2020,f,70–74,0
Yukon,12/19/2020,f,75–79,0
Yukon,12/19/2020,f,80+,0
Yukon,12/19/2020,f,All ages,0
Yukon,12/19/2020,f,Not reported,0
Yukon,12/19/2020,f,Unknown,0
Yukon,12/19/2020,m,0–15,0
Yukon,12/19/2020,m,16–69,0
Yukon,12/19/2020,m,70–74,0
Yukon,12/19/2020,m,75–79,0
Yukon,12/19/2020,m,80+,0
Yukon,12/19/2020,m,All ages,0
Yukon,12/19/2020,m,Not reported,0
Yukon,12/19/2020,m,Unknown,0
Yukon,12/19/2020,Unknown,0–15,0
Yukon,12/19/2020,Unknown,16–69,0
Yukon,12/19/2020,Unknown,70–74,0
Yukon,12/19/2020,Unknown,75–79,0
Yukon,12/19/2020,Unknown,80+,0
Yukon,12/19/2020,Unknown,All ages,0
Yukon,12/19/2020,Unknown,Not reported,0
Yukon,12/19/2020,Unknown,Unknown,0
Yukon,12/19/2020,Not reported,0–15,0
Yukon,12/19/2020,Not reported,16–69,0
Yukon,12/19/2020,Not reported,70–74,0
Yukon,12/19/2020,Not reported,75–79,0
Yukon,12/19/2020,Not reported,80+,0
Yukon,12/19/2020,Not reported,All ages,0
Yukon,12/19/2020,Not reported,Not reported,0
Yukon,12/19/2020,Not reported,Unknown,0
Northwest Territories,12/19/2020,All sexes,0–15,0
Northwest Territories,12/19/2020,All sexes,16–69,0
Northwest Territories,12/19/2020,All sexes,70–74,0
Northwest Territories,12/19/2020,All sexes,75–79,0
Northwest Territories,12/19/2020,All sexes,80+,0
Northwest Territories,12/19/2020,All sexes,All ages,0
Northwest Territories,12/19/2020,All sexes,Not reported,0
Northwest Territories,12/19/2020,All sexes,Unknown,0
Northwest Territories,12/19/2020,f,0–15,0
Northwest Territories,12/19/2020,f,16–69,0
Northwest Territories,12/19/2020,f,70–74,0
Northwest Territories,12/19/2020,f,75–79,0
Northwest Territories,12/19/2020,f,80+,0
Northwest Territories,12/19/2020,f,All ages,0
Northwest Territories,12/19/2020,f,Not reported,0
Northwest Territories,12/19/2020,f,Unknown,0
Northwest Territories,12/19/2020,m,0–15,0
Northwest Territories,12/19/2020,m,16–69,0
Northwest Territories,12/19/2020,m,70–74,0
Northwest Territories,12/19/2020,m,75–79,0
Northwest Territories,12/19/2020,m,80+,0
Northwest Territories,12/19/2020,m,All ages,0
Northwest Territories,12/19/2020,m,Not reported,0
Northwest Territories,12/19/2020,m,Unknown,0
Northwest Territories,12/19/2020,Unknown,0–15,0
Northwest Territories,12/19/2020,Unknown,16–69,0
Northwest Territories,12/19/2020,Unknown,70–74,0
Northwest Territories,12/19/2020,Unknown,75–79,0
Northwest Territories,12/19/2020,Unknown,80+,0
Northwest Territories,12/19/2020,Unknown,All ages,0
Northwest Territories,12/19/2020,Unknown,Not reported,0
Northwest Territories,12/19/2020,Unknown,Unknown,0
Northwest Territories,12/19/2020,Not reported,0–15,0
Northwest Territories,12/19/2020,Not reported,16–69,0
Northwest Territories,12/19/2020,Not reported,70–74,0
Northwest Territories,12/19/2020,Not reported,75–79,0
Northwest Territories,12/19/2020,Not reported,80+,0
Northwest Territories,12/19/2020,Not reported,All ages,0
Northwest Territories,12/19/2020,Not reported,Not reported,0
Northwest Territories,12/19/2020,Not reported,Unknown,0
Nunavut,12/19/2020,All sexes,0–15,0
Nunavut,12/19/2020,All sexes,16–69,0
Nunavut,12/19/2020,All sexes,70–74,0
Nunavut,12/19/2020,All sexes,75–79,0
Nunavut,12/19/2020,All sexes,80+,0
Nunavut,12/19/2020,All sexes,All ages,0
Nunavut,12/19/2020,All sexes,Not reported,0
Nunavut,12/19/2020,All sexes,Unknown,0
Nunavut,12/19/2020,f,0–15,0
Nunavut,12/19/2020,f,16–69,0
Nunavut,12/19/2020,f,70–74,0
Nunavut,12/19/2020,f,75–79,0
Nunavut,12/19/2020,f,80+,0
Nunavut,12/19/2020,f,All ages,0
Nunavut,12/19/2020,f,Not reported,0
Nunavut,12/19/2020,f,Unknown,0
Nunavut,12/19/2020,m,0–15,0
Nunavut,12/19/2020,m,16–69,0
Nunavut,12/19/2020,m,70–74,0
Nunavut,12/19/2020,m,75–79,0
Nunavut,12/19/2020,m,80+,0
Nunavut,12/19/2020,m,All ages,0
Nunavut,12/19/2020,m,Not reported,0
Nunavut,12/19/2020,m,Unknown,0
Nunavut,12/19/2020,Unknown,0–15,0
Nunavut,12/19/2020,Unknown,16–69,0
Nunavut,12/19/2020,Unknown,70–74,0
Nunavut,12/19/2020,Unknown,75–79,0
Nunavut,12/19/2020,Unknown,80+,0
Nunavut,12/19/2020,Unknown,All ages,0
Nunavut,12/19/2020,Unknown,Not reported,0
Nunavut,12/19/2020,Unknown,Unknown,0
Nunavut,12/19/2020,Not reported,0–15,0
Nunavut,12/19/2020,Not reported,16–69,0
Nunavut,12/19/2020,Not reported,70–74,0
Nunavut,12/19/2020,Not reported,75–79,0
Nunavut,12/19/2020,Not reported,80+,0
Nunavut,12/19/2020,Not reported,All ages,0
Nunavut,12/19/2020,Not reported,Not reported,0
Nunavut,12/19/2020,Not reported,Unknown,0
Canada,12/26/2020,All sexes,0–15,10
Canada,12/26/2020,All sexes,16–69,40165
Canada,12/26/2020,All sexes,70–74,655
Canada,12/26/2020,All sexes,75–79,498
Canada,12/26/2020,All sexes,80+,2229
Canada,12/26/2020,All sexes,All ages,46180
Canada,12/26/2020,All sexes,Not reported,2606
Canada,12/26/2020,All sexes,Unknown,17
Canada,12/26/2020,f,0–15,7
Canada,12/26/2020,f,16–69,30524
Canada,12/26/2020,f,70–74,360
Canada,12/26/2020,f,75–79,283
Canada,12/26/2020,f,80+,1520
Canada,12/26/2020,f,All ages,32700
Canada,12/26/2020,f,Not reported,0
Canada,12/26/2020,f,Unknown,6
Canada,12/26/2020,m,0–15,3
Canada,12/26/2020,m,16–69,9615
Canada,12/26/2020,m,70–74,289
