Province,Entry_Date,Cumulative confirmed cases,Confirmed cases per day,Cumulative death cases,Deaths per day,Cumulative hospitalizations cases,hospitalizations per day,Mortality rate,Daily mortality rate
Alberta,12/27/2020,98347,955,1002,112,821,0,1.019,11.728
Quebec,12/27/2020,186074,2058,7662,46,1085,157,4.118,2.235
British Columbia,12/27/2020,50654,476,808,0,341,0,1.595,0
Prince Edward Island,12/27/2020,94,0,0,0,0,0,0,0
Manitoba,12/28/2020,24265,116,672,5,343,2,2.769,4.31
Northwest Territories,12/28/2020,24,0,0,0,0,0,0,0
Newfoundland and Labrador,12/28/2020,389,2,4,0,1,0,1.028,0
Alberta,12/28/2020,99243,896,1028,26,878,57,1.036,2.902
Quebec,12/28/2020,188314,2240,7706,44,1124,39,4.092,1.964
Nunavut,12/28/2020,266,1,1,0,0,0,0.376,0
Yukon,12/28/2020,70,0,1,0,0,0,1.429,0
Ontario,12/28/2020,178325,2741,4611,39,1128,93,2.586,1.423
New Brunswick,12/28/2020,593,1,8,0,3,1,1.349,0
Nova Scotia,12/28/2020,1478,1,65,0,0,0,4.398,0
Prince Edward Island,12/28/2020,94,0,0,0,0,0,0,0
British Columbia,12/28/2020,51058,404,808,0,341,0,1.583,0
Nova Scotia,12/29/2020,1480,2,65,0,1,1,4.392,0
Alberta,12/29/2020,100607,1364,1046,18,890,12,1.04,1.32
Nunavut,12/29/2020,266,0,1,0,0,0,0.376,0
Quebec,12/29/2020,190457,2143,7747,41,1133,9,4.068,1.913
Ontario,12/29/2020,181517,3192,4660,49,1168,40,2.567,1.535
Newfoundland and Labrador,12/29/2020,390,1,4,0,1,0,1.026,0
Northwest Territories,12/29/2020,24,0,0,0,0,0,0,0
British Columbia,12/29/2020,51676,618,882,74,373,32,1.707,11.974
Yukon,12/29/2020,70,0,1,0,0,0,1.429,0
Prince Edward Island,12/29/2020,96,2,0,0,0,0,0,0
New Brunswick,12/29/2020,595,2,8,0,3,0,1.345,0
Newfoundland and Labrador,12/30/2020,390,0,4,0,1,0,1.026,0
Ontario,12/30/2020,184324,2807,4708,48,1230,62,2.554,1.71
Alberta,12/30/2020,101870,1263,1046,0,921,31,1.027,0
Northwest Territories,12/30/2020,24,0,0,0,0,0,0,0
Prince Edward Island,12/30/2020,96,0,0,0,0,0,0,0
Quebec,12/30/2020,193557,3100,7791,44,1211,78,4.025,1.419
British Columbia,12/30/2020,52270,594,893,11,379,6,1.708,1.852
Nova Scotia,12/30/2020,1483,3,65,0,1,0,4.383,0
Yukon,12/30/2020,70,0,1,0,0,0,1.429,0
Nunavut,12/30/2020,266,0,1,0,0,0,0.376,0
Nova Scotia,12/31/2020,1486,3,65,0,1,0,4.374,0
Alberta,12/31/2020,103230,1360,1046,0,921,0,1.013,0
Nunavut,12/31/2020,266,0,1,0,0,0,0.376,0
Ontario,12/31/2020,187735,3411,4758,50,1270,40,2.534,1.466
Manitoba,12/31/2020,24699,185,683,3,337,0,2.765,1.622
Newfoundland and Labrador,12/31/2020,390,0,4,0,1,0,1.026,0
Prince Edward Island,12/31/2020,96,0,0,0,0,0,0,0
Yukon,12/31/2020,71,1,1,0,0,0,1.408,0
Northwest Territories,12/31/2020,24,0,0,0,0,0,0,0
Northwest Territories,1/1/2021,24,0,0,0,0,0,0,0
Manitoba,1/1/2021,24853,154,690,7,337,0,2.776,4.545
New Brunswick,1/1/2021,601,2,9,0,1,0,1.498,0
Yukon,1/1/2021,78,7,1,0,0,0,1.282,0
Nova Scotia,1/1/2021,1497,11,65,0,1,0,4.342,0
British Columbia,1/1/2021,53485,596,901,0,374,0,1.685,0
Prince Edward Island,1/1/2021,96,0,0,0,0,0,0,0
Saskatchewan,1/1/2021,15350,0,153,0,142,0,0.997,0
Newfoundland and Labrador,1/1/2021,390,0,4,0,1,0,1.026,0
Alberta,1/1/2021,104151,921,1046,0,921,0,1.004,0
Nunavut,1/1/2021,266,0,1,0,0,0,0.376,0
Prince Edward Island,1/2/2021,96,0,0,0,0,0,0,0
Alberta,1/2/2021,104617,466,1046,0,921,0,1,0
Saskatchewan,1/2/2021,15845,495,156,3,160,18,0.985,0.606
Nova Scotia,1/2/2021,1499,2,65,0,1,0,4.336,0
Yukon,1/2/2021,78,0,1,0,0,0,1.282,0
Nunavut,1/2/2021,266,0,1,0,0,0,0.376,0
Newfoundland and Labrador,1/2/2021,390,0,4,0,1,0,1.026,0
Ontario,1/2/2021,193900,2888,4852,42,1287,18,2.502,1.454
New Brunswick,1/2/2021,611,10,9,0,1,0,1.473,0
Northwest Territories,1/2/2021,24,0,0,0,0,0,0,0
British Columbia,1/2/2021,53899,414,901,0,374,0,1.672,0
Alberta,1/3/2021,105755,1138,1142,96,921,0,1.08,8.436
New Brunswick,1/3/2021,618,7,9,0,1,0,1.456,0
British Columbia,1/3/2021,54436,537,901,0,374,0,1.655,0
Nova Scotia,1/3/2021,1501,2,65,0,1,0,4.33,0
Quebec,1/3/2021,203828,2287,7960,45,1225,150,3.905,1.968
Northwest Territories,1/3/2021,24,0,0,0,0,0,0,0
Nunavut,1/3/2021,266,0,1,0,0,0,0.376,0
Prince Edward Island,1/3/2021,96,0,0,0,0,0,0,0
Newfoundland and Labrador,1/3/2021,390,0,4,0,1,0,1.026,0
Yukon,1/3/2021,79,1,1,0,0,0,1.266,0
