Province,Entry_Date,Cumulative confirmed cases,Confirmed cases per day,Cumulative death cases,Deaths per day,Cumulative hospitalizations cases,hospitalizations per day,Mortality rate,Daily mortality rate
Nunavut,4/20/2021,428,5,4,0,0,0,0.935,0
Manitoba,4/20/2021,36471,203,966,2,66,4,2.649,0.985
British Columbia,4/20/2021,121657,929,1539,1,456,15,1.265,0.108
Nova Scotia,4/20/2021,1831,9,67,0,2,0,3.659,0
Prince Edward Island,4/21/2021,174,0,0,0,1,0,0,0
Nunavut,4/21/2021,429,1,4,0,0,0,0.932,0
Yukon,4/21/2021,100,2,1,0,0,0,1,0
Quebec,4/21/2021,334196,1267,10169,6,716,22,3.043,0.474
Newfoundland and Labrador,4/21/2021,1049,1,6,0,0,0,0.572,0
Nova Scotia,4/21/2021,1856,25,67,0,3,1,3.61,0
Manitoba,4/21/2021,36634,163,968,2,72,6,2.642,1.227
Alberta,4/21/2021,176798,1841,2054,6,476,0,1.162,0.326
British Columbia,4/21/2021,122617,960,1546,7,483,27,1.261,0.729
Northwest Territories,4/21/2021,45,2,0,0,0,0,0,0
Alberta,4/22/2021,178469,1671,2059,5,518,42,1.154,0.299
Yukon,4/22/2021,101,1,1,0,0,0,0.99,0
Manitoba,4/22/2021,36896,262,971,3,76,4,2.632,1.145
New Brunswick,4/22/2021,1823,19,34,0,15,0,1.865,0
Newfoundland and Labrador,4/22/2021,1052,3,6,0,0,0,0.57,0
Prince Edward Island,4/22/2021,175,1,0,0,1,0,0,0
Nova Scotia,4/22/2021,1894,38,67,0,3,0,3.537,0
Nunavut,4/22/2021,432,3,4,0,0,0,0.926,0
British Columbia,4/22/2021,123631,1014,1550,4,502,19,1.254,0.394
Northwest Territories,4/22/2021,46,1,0,0,0,0,0,0
Ontario,4/22/2021,440896,4510,8015,43,2360,17,1.818,0.953
Newfoundland and Labrador,4/23/2021,1053,1,6,0,0,0,0.57,0
Nova Scotia,4/23/2021,1938,44,67,0,4,1,3.457,0
Northwest Territories,4/23/2021,48,2,0,0,0,0,0,0
Prince Edward Island,4/23/2021,175,0,0,0,1,0,0,0
Alberta,4/23/2021,179981,1512,2064,5,549,31,1.147,0.331
Saskatchewan,4/23/2021,39392,255,471,1,186,9,1.196,0.392
Nunavut,4/23/2021,441,9,4,0,0,0,0.907,0
Yukon,4/23/2021,102,1,1,0,0,0,0.98,0
Saskatchewan,4/24/2021,39683,291,473,2,186,0,1.192,0.687
Manitoba,4/24/2021,37348,275,974,1,74,1,2.608,0.364
Nova Scotia,4/24/2021,1990,52,67,0,5,1,3.367,0
British Columbia,4/24/2021,125395,871,1554,0,486,0,1.239,0
Yukon,4/24/2021,102,0,1,0,0,0,0.98,0
Alberta,4/24/2021,181425,1444,2067,3,584,35,1.139,0.208
Newfoundland and Labrador,4/24/2021,1056,3,6,0,1,1,0.568,0
Northwest Territories,4/24/2021,48,0,0,0,0,0,0,0
Prince Edward Island,4/24/2021,175,0,0,0,1,0,0,0
Nunavut,4/24/2021,448,7,4,0,0,0,0.893,0
Yukon,4/25/2021,102,0,1,0,0,0,0.98,0
Northwest Territories,4/25/2021,48,0,0,0,0,0,0,0
Alberta,4/25/2021,182917,1492,2074,7,594,10,1.134,0.469
Nova Scotia,4/25/2021,2053,63,67,0,5,0,3.264,0
Manitoba,4/25/2021,37613,265,976,2,74,0,2.595,0.755
Prince Edward Island,4/25/2021,175,0,0,0,1,0,0,0
Nunavut,4/25/2021,455,7,4,0,0,0,0.879,0
Newfoundland and Labrador,4/25/2021,1058,2,6,0,1,0,0.567,0
British Columbia,4/25/2021,126159,764,1554,0,486,0,1.232,0
New Brunswick,4/25/2021,1851,4,35,0,8,0,1.891,0
Saskatchewan,4/25/2021,39932,249,475,2,186,0,1.19,0.803
Ontario,4/26/2021,455561,3135,8147,38,2340,63,1.788,1.212
Manitoba,4/26/2021,37821,208,978,2,83,9,2.586,0.962
Quebec,4/26/2021,339350,902,10222,10,664,10,3.012,1.109
Saskatchewan,4/26/2021,40177,245,476,1,187,1,1.185,0.408
Newfoundland and Labrador,4/26/2021,1062,4,6,0,1,0,0.565,0
Northwest Territories,4/26/2021,51,3,0,0,0,0,0,0
Prince Edward Island,4/26/2021,177,2,0,0,1,0,0,0
Yukon,4/26/2021,102,0,2,1,0,0,1.961,0
Nunavut,4/26/2021,464,9,4,0,0,0,0.862,0
Nova Scotia,4/27/2021,2215,96,67,0,8,5,3.025,0
British Columbia,4/27/2021,127728,796,1571,0,500,16,1.23,0
Quebec,4/27/2021,340385,1035,10233,11,667,3,3.006,1.063
Northwest Territories,4/27/2021,51,0,0,0,0,0,0,0
Alberta,4/27/2021,186299,1835,2073,6,635,19,1.113,0.327
Ontario,4/27/2021,459071,3510,8180,33,2351,11,1.782,0.94
Nunavut,4/27/2021,472,8,4,0,0,0,0.847,0
Manitoba,4/27/2021,38028,207,978,0,83,0,2.572,0
Newfoundland and Labrador,4/27/2021,1062,0,6,0,1,0,0.565,0
Yukon,4/27/2021,102,0,2,0,0,0,1.961,0
Prince Edward Island,4/27/2021,177,0,0,0,1,0,0,0
Nova Scotia,4/28/2021,2290,75,67,0,8,0,2.926,0
Alberta,4/28/2021,188365,2066,2075,2,643,8,1.102,0.097
Newfoundland and Labrador,4/28/2021,1066,4,6,0,1,0,0.563,0
Manitoba,4/28/2021,38232,204,978,0,83,0,2.558,0
British Columbia,4/28/2021,128600,872,1576,5,515,15,1.226,0.573
Yukon,4/28/2021,102,0,2,0,0,0,1.961,0
Nunavut,4/28/2021,478,6,4,0,0,0,0.837,0
Northwest Territories,4/28/2021,51,0,0,0,0,0,0,0
Saskatchewan,4/29/2021,40824,210,487,1,186,2,1.193,0.476
Yukon,4/29/2021,102,0,2,0,0,0,1.961,0
Nunavut,4/29/2021,490,12,4,0,0,0,0.816,0
Northwest Territories,4/29/2021,51,0,0,0,0,0,0,0
Nova Scotia,4/29/2021,2360,70,67,0,10,2,2.839,0
Newfoundland and Labrador,4/29/2021,1068,2,6,0,2,1,0.562,0
New Brunswick,4/29/2021,1900,10,36,0,4,0,1.895,0
Prince Edward Island,4/29/2021,179,0,0,0,0,0,0,0
Prince Edward Island,4/30/2021,181,2,0,0,0,0,0,0
Northwest Territories,4/30/2021,51,0,0,0,0,0,0,0
British Columbia,4/30/2021,130238,892,1581,4,511,8,1.214,0.448
Manitoba,4/30/2021,38742,291,981,2,87,7,2.532,0.687
Yukon,4/30/2021,103,1,2,0,0,0,1.942,0
New Brunswick,4/30/2021,1915,15,36,0,4,0,1.88,0
Nunavut,4/30/2021,501,11,4,0,0,0,0.798,0
Newfoundland and Labrador,4/30/2021,1076,8,6,0,2,0,0.558,0
Nova Scotia,4/30/2021,2427,67,67,0,17,7,2.761,0
Alberta,4/30/2021,192771,2410,2083,1,649,17,1.081,0.041
New Brunswick,5/1/2021,1933,18,36,0,5,1,1.862,0
Nunavut,5/1/2021,509,8,4,0,0,0,0.786,0
Prince Edward Island,5/1/2021,181,0,0,0,0,0,0,0
Yukon,5/1/2021,103,0,2,0,0,0,1.942,0
Nova Scotia,5/1/2021,2575,148,67,0,25,8,2.602,0
Manitoba,5/1/2021,39027,285,983,2,87,0,2.519,0.702
Newfoundland and Labrador,5/1/2021,1081,5,6,0,3,1,0.555,0
Northwest Territories,5/1/2021,51,0,0,0,0,0,0,0
British Columbia,5/1/2021,130926,688,1581,0,511,0,1.208,0
Saskatchewan,5/2/2021,41599,239,494,1,167,0,1.188,0.418
Prince Edward Island,5/2/2021,182,1,0,0,0,0,0,0
Nova Scotia,5/2/2021,2708,133,67,0,28,3,2.474,0
Northwest Territories,5/2/2021,52,1,0,0,0,0,0,0
Alberta,5/2/2021,196443,1971,2090,4,648,2,1.064,0.203
Manitoba,5/2/2021,39302,275,984,1,105,18,2.504,0.364
Yukon,5/2/2021,103,0,2,0,0,0,1.942,0
Nunavut,5/2/2021,520,11,4,0,0,0,0.769,0
British Columbia,5/2/2021,131572,646,1581,0,511,0,1.202,0
New Brunswick,5/3/2021,1954,15,38,1,6,2,1.945,6.667
Yukon,5/3/2021,103,0,2,0,0,0,1.942,0
Nova Scotia,5/3/2021,2854,146,67,0,34,6,2.348,0
Quebec,5/3/2021,346562,836,10298,8,588,14,2.971,0.957
Newfoundland and Labrador,5/3/2021,1104,5,6,0,2,0,0.543,0
Nunavut,5/3/2021,528,8,4,0,0,0,0.758,0
Alberta,5/3/2021,198235,1792,2099,9,658,10,1.059,0.502
Saskatchewan,5/3/2021,41806,207,497,3,174,7,1.189,1.449
Prince Edward Island,5/3/2021,182,0,0,0,0,0,0,0
Ontario,5/3/2021,479540,2602,8344,30,2167,48,1.74,1.153
Manitoba,5/3/2021,39542,240,985,1,117,12,2.491,0.417
Northwest Territories,5/3/2021,59,7,0,0,0,0,0,0
Yukon,5/4/2021,103,0,2,0,0,0,1.942,0
Prince Edward Island,5/4/2021,183,1,0,0,0,0,0,0
Manitoba,5/4/2021,39842,300,988,3,120,3,2.48,1
New Brunswick,5/4/2021,1958,4,38,0,6,0,1.941,0
Alberta,5/4/2021,200517,2282,2102,3,671,13,1.048,0.131
Northwest Territories,5/4/2021,71,12,0,0,0,0,0,0
Newfoundland and Labrador,5/4/2021,1108,4,6,0,2,0,0.542,0
Ontario,5/4/2021,482435,2895,8374,30,2177,10,1.736,1.036
Nunavut,5/4/2021,535,7,4,0,0,0,0.748,0
Quebec,5/4/2021,347416,854,10302,4,594,6,2.965,0.468
British Columbia,5/4/2021,132768,627,1594,0,486,12,1.201,0
Saskatchewan,5/4/2021,42006,200,499,2,174,0,1.188,1
New Brunswick,5/5/2021,1969,11,39,1,6,0,1.981,9.091
Nova Scotia,5/5/2021,3182,175,69,0,31,2,2.168,0
Nunavut,5/5/2021,540,5,4,0,0,0,0.741,0
Manitoba,5/5/2021,40111,269,991,3,125,5,2.471,1.115
Newfoundland and Labrador,5/5/2021,1114,6,6,0,2,0,0.539,0
Prince Edward Island,5/5/2021,183,0,0,0,0,0,0,0
Yukon,5/5/2021,103,0,2,0,0,0,1.942,0
Northwest Territories,5/5/2021,85,14,0,0,0,0,0,0
Newfoundland and Labrador,5/6/2021,1120,6,6,0,2,0,0.536,0
Nunavut,5/6/2021,552,12,4,0,0,0,0.725,0
New Brunswick,5/6/2021,1980,11,40,1,6,0,2.02,9.091
Prince Edward Island,5/6/2021,185,2,0,0,0,0,0,0
Saskatchewan,5/6/2021,42376,173,501,0,173,2,1.182,0
Northwest Territories,5/6/2021,98,13,0,0,0,0,0,0
Yukon,5/6/2021,103,0,2,0,0,0,1.942,0
Nova Scotia,5/6/2021,3364,182,69,0,36,5,2.051,0
Nova Scotia,5/7/2021,3591,227,69,0,41,5,1.921,0
Manitoba,5/7/2021,40956,473,996,4,137,14,2.432,0.846
Yukon,5/7/2021,103,0,2,0,0,0,1.942,0
Prince Edward Island,5/7/2021,186,1,0,0,0,0,0,0
Alberta,5/7/2021,206693,2050,2108,2,659,5,1.02,0.098
Northwest Territories,5/7/2021,99,1,0,0,0,0,0,0
Nunavut,5/7/2021,553,1,4,0,0,0,0.723,0
New Brunswick,5/7/2021,1988,8,40,0,8,2,2.012,0
Saskatchewan,5/7/2021,42695,319,502,1,174,1,1.176,0.313
Northwest Territories,5/8/2021,99,0,0,0,0,0,0,0
Nova Scotia,5/8/2021,3754,163,71,2,42,1,1.891,1.227
British Columbia,5/8/2021,135369,623,1602,0,445,0,1.183,0
Newfoundland and Labrador,5/8/2021,1133,6,6,0,1,1,0.53,0
New Brunswick,5/8/2021,1996,8,41,1,10,2,2.054,12.5
Nunavut,5/8/2021,560,7,4,0,0,0,0.714,0
Prince Edward Island,5/8/2021,186,0,0,0,0,0,0,0
Alberta,5/8/2021,208276,1583,2110,2,661,2,1.013,0.126
Manitoba,5/8/2021,41457,501,1001,5,139,2,2.415,0.998
Yukon,5/8/2021,103,0,2,0,0,0,1.942,0
Nunavut,5/9/2021,565,5,4,0,0,0,0.708,0
Prince Edward Island,5/9/2021,186,0,0,0,0,0,0,0
Northwest Territories,5/9/2021,99,0,0,0,0,0,0,0
Nova Scotia,5/9/2021,3919,165,71,0,43,1,1.812,0
Manitoba,5/9/2021,41952,495,1002,1,149,10,2.388,0.202
Yukon,5/9/2021,103,0,2,0,0,0,1.942,0
Newfoundland and Labrador,5/9/2021,1138,5,6,0,1,0,0.527,0
Alberta,5/9/2021,209846,1570,2117,7,668,7,1.009,0.446
New Brunswick,5/9/2021,2002,6,41,0,10,0,2.048,0
British Columbia,5/9/2021,135938,569,1602,0,445,0,1.178,0
New Brunswick,5/10/2021,2013,11,41,0,11,1,2.037,0
Northwest Territories,5/10/2021,102,3,0,0,0,0,0,0
Quebec,5/10/2021,352650,681,10338,7,543,4,2.932,1.028
Nova Scotia,5/10/2021,4040,121,71,0,49,6,1.757,0
Alberta,5/10/2021,211357,1511,2119,2,690,22,1.003,0.132
Nunavut,5/10/2021,572,7,4,0,0,0,0.699,0
Prince Edward Island,5/10/2021,187,1,0,0,0,0,0,0
Manitoba,5/10/2021,42474,522,1003,1,153,4,2.361,0.192
Yukon,5/10/2021,104,1,2,0,0,0,1.923,0
Newfoundland and Labrador,5/10/2021,1141,3,6,0,1,0,0.526,0
Newfoundland and Labrador,5/11/2021,1156,15,6,0,1,0,0.519,0
Nova Scotia,5/11/2021,4158,118,71,0,54,5,1.708,0
Northwest Territories,5/11/2021,112,10,0,0,0,0,0,0
Nunavut,5/11/2021,586,14,4,0,0,0,0.683,0
Saskatchewan,5/11/2021,43481,193,506,4,162,6,1.164,2.073
Prince Edward Island,5/11/2021,187,0,0,0,0,0,0,0
New Brunswick,5/11/2021,2015,2,41,0,11,0,2.035,0
Ontario,5/11/2021,501668,2565,8570,25,1786,14,1.708,0.975
Alberta,5/11/2021,213170,1813,2123,4,705,15,0.996,0.221
Yukon,5/11/2021,105,1,2,0,0,0,1.905,0
British Columbia,5/11/2021,137029,575,1624,2,426,11,1.185,0.348
Manitoba,5/11/2021,42827,353,1006,3,154,1,2.349,0.85
Manitoba,5/12/2021,43165,338,1007,1,162,8,2.333,0.296
Newfoundland and Labrador,5/12/2021,1166,10,6,0,1,0,0.515,0
New Brunswick,5/12/2021,2024,9,41,0,11,0,2.026,0
Alberta,5/12/2021,214762,1592,2132,9,737,32,0.993,0.565
Yukon,5/12/2021,105,0,2,0,0,0,1.905,0
Saskatchewan,5/12/2021,43673,192,508,2,163,1,1.163,1.042
Nova Scotia,5/12/2021,4307,149,71,0,59,5,1.648,0
Northwest Territories,5/12/2021,114,2,0,0,0,0,0,0
Nunavut,5/12/2021,594,8,4,0,0,0,0.673,0
Prince Edward Island,5/12/2021,187,0,0,0,0,0,0,0
Nunavut,5/13/2021,606,12,4,0,0,0,0.66,0
Manitoba,5/13/2021,43751,586,1009,2,183,21,2.306,0.341
Saskatchewan,5/13/2021,43673,0,508,0,163,0,1.163,0
Northwest Territories,5/13/2021,115,1,0,0,0,0,0,0
Yukon,5/13/2021,105,0,2,0,0,0,1.905,0
Prince Edward Island,5/13/2021,188,1,0,0,0,0,0,0
Nova Scotia,5/13/2021,4417,110,71,0,70,11,1.607,0
Yukon,5/14/2021,105,0,2,0,0,0,1.905,0
Northwest Territories,5/14/2021,121,6,0,0,0,0,0,0
Newfoundland and Labrador,5/14/2021,1179,6,6,0,1,1,0.509,0
Quebec,5/14/2021,355941,884,10362,6,530,10,2.911,0.679
Prince Edward Island,5/14/2021,190,2,0,0,0,0,0,0
Nunavut,5/14/2021,618,12,4,0,0,0,0.647,0
New Brunswick,5/14/2021,2045,5,41,0,10,0,2.005,0
New Brunswick,5/15/2021,2052,7,41,0,11,1,1.998,0
Newfoundland and Labrador,5/15/2021,1184,5,6,0,1,0,0.507,0
Manitoba,5/15/2021,44655,447,1015,2,181,2,2.273,0.447
Northwest Territories,5/15/2021,121,0,0,0,0,0,0,0
Yukon,5/15/2021,105,0,2,0,0,0,1.905,0
Prince Edward Island,5/15/2021,191,1,0,0,0,0,0,0
British Columbia,5/15/2021,139050,486,1634,0,387,0,1.175,0
Nunavut,5/15/2021,623,5,4,0,0,0,0.642,0
Manitoba,5/16/2021,45185,530,1018,3,201,20,2.253,0.566
Prince Edward Island,5/16/2021,191,0,0,0,0,0,0,0
Northwest Territories,5/16/2021,121,0,0,0,0,0,0,0
New Brunswick,5/16/2021,2063,11,41,0,11,0,1.987,0
British Columbia,5/16/2021,139492,442,1634,0,387,0,1.171,0
Newfoundland and Labrador,5/16/2021,1193,9,6,0,1,0,0.503,0
Yukon,5/16/2021,105,0,2,0,0,0,1.905,0
Nunavut,5/16/2021,624,1,4,0,0,0,0.641,0
Newfoundland and Labrador,5/17/2021,1203,10,6,0,1,0,0.499,0
Alberta,5/17/2021,220253,918,2152,4,678,31,0.977,0.436
Prince Edward Island,5/17/2021,192,1,0,0,0,0,0,0
Northwest Territories,5/17/2021,121,0,0,0,0,0,0,0
Yukon,5/17/2021,105,0,2,0,0,0,1.905,0
Manitoba,5/17/2021,45606,421,1022,4,209,8,2.241,0.95
Ontario,5/17/2021,514570,1612,8694,20,1472,28,1.69,1.241
Nunavut,5/17/2021,624,0,4,0,0,0,0.641,0
Saskatchewan,5/17/2021,44709,178,519,2,142,5,1.161,1.124
Nova Scotia,5/17/2021,4837,91,72,0,74,3,1.489,0
Manitoba,5/18/2021,45986,380,1025,3,216,7,2.229,0.789
Newfoundland and Labrador,5/18/2021,1209,6,6,0,1,0,0.496,0
British Columbia,5/18/2021,140412,522,1650,2,360,10,1.175,0.383
Alberta,5/18/2021,221208,955,2158,6,691,13,0.976,0.628
Prince Edward Island,5/18/2021,194,2,0,0,0,0,0,0
Nunavut,5/18/2021,630,6,4,0,0,0,0.635,0
Ontario,5/18/2021,516500,1930,8716,22,1489,17,1.688,1.14
Northwest Territories,5/18/2021,125,4,0,0,0,0,0,0
Saskatchewan,5/18/2021,44841,132,522,3,142,0,1.164,2.273
Yukon,5/18/2021,105,0,2,0,0,0,1.905,0
Nova Scotia,5/18/2021,4927,90,72,0,78,4,1.461,0
Prince Edward Island,5/19/2021,199,5,0,0,0,0,0,0
Nunavut,5/19/2021,634,4,4,0,0,0,0.631,0
Newfoundland and Labrador,5/19/2021,1210,1,6,0,1,0,0.496,0
Northwest Territories,5/19/2021,126,1,0,0,0,0,0,0
New Brunswick,5/19/2021,2091,8,43,1,11,2,2.056,12.5
Yukon,5/19/2021,105,0,2,0,0,0,1.905,0
Manitoba,5/19/2021,46369,383,1025,0,231,15,2.211,0
Nova Scotia,5/19/2021,5010,83,74,2,81,3,1.477,2.41
Nunavut,5/20/2021,636,2,4,0,0,0,0.629,0
Saskatchewan,5/20/2021,45128,146,522,0,138,4,1.157,0
Newfoundland and Labrador,5/20/2021,1216,6,6,0,2,1,0.493,0
Prince Edward Island,5/20/2021,199,0,0,0,0,0,0,0
Northwest Territories,5/20/2021,126,0,0,0,0,0,0,0
Yukon,5/20/2021,105,0,2,0,0,0,1.905,0
Manitoba,5/20/2021,46970,601,1029,4,232,1,2.191,0.666
Northwest Territories,5/21/2021,127,1,0,0,0,0,0,0
Prince Edward Island,5/21/2021,200,1,0,0,0,0,0,0
New Brunswick,5/21/2021,2113,15,43,0,7,0,2.035,0
Newfoundland and Labrador,5/21/2021,1226,10,6,0,4,2,0.489,0
Yukon,5/21/2021,105,0,2,0,0,0,1.905,0
Nunavut,5/21/2021,637,1,4,0,0,0,0.628,0
Manitoba,5/21/2021,47555,585,1033,4,236,4,2.172,0.684
British Columbia,5/22/2021,141907,334,1667,0,319,0,1.175,0
Nunavut,5/22/2021,638,1,4,0,0,0,0.627,0
Prince Edward Island,5/22/2021,200,0,0,0,0,0,0,0
Manitoba,5/22/2021,48025,470,1037,4,241,5,2.159,0.851
New Brunswick,5/22/2021,2115,2,43,0,7,0,2.033,0
Newfoundland and Labrador,5/22/2021,1230,4,6,0,4,0,0.488,0
Northwest Territories,5/22/2021,127,0,0,0,0,0,0,0
Yukon,5/22/2021,105,0,2,0,0,0,1.905,0
Ontario,5/23/2021,525126,1212,8818,13,1242,30,1.679,1.073
Yukon,5/23/2021,105,0,2,0,0,0,1.905,0
Prince Edward Island,5/23/2021,200,0,0,0,0,0,0,0
Manitoba,5/23/2021,48438,413,1038,1,259,18,2.143,0.242
Nunavut,5/23/2021,638,0,4,0,0,0,0.627,0
Northwest Territories,5/23/2021,127,0,0,0,0,0,0,0
New Brunswick,5/23/2021,2129,14,43,0,8,1,2.02,0
Saskatchewan,5/23/2021,45605,115,526,1,124,4,1.153,0.87
British Columbia,5/23/2021,142209,302,1667,0,319,0,1.172,0
Newfoundland and Labrador,5/23/2021,1253,23,6,0,4,0,0.479,0
Yukon,5/24/2021,105,0,2,0,0,0,1.905,0
Saskatchewan,5/24/2021,45709,104,526,0,133,9,1.151,0
Manitoba,5/24/2021,48806,368,1041,3,260,1,2.133,0.815
Nunavut,5/24/2021,639,1,4,0,0,0,0.626,0
Quebec,5/24/2021,361959,376,10428,7,424,3,2.881,1.862
Northwest Territories,5/24/2021,127,0,0,0,0,0,0,0
Prince Edward Island,5/24/2021,200,0,0,0,0,0,0,0
Newfoundland and Labrador,5/24/2021,1258,5,6,0,4,0,0.477,0
Nova Scotia,5/24/2021,5346,49,79,0,53,53,1.478,0
British Columbia,5/25/2021,142715,254,1680,1,301,9,1.177,0.394
Ontario,5/25/2021,527130,987,8850,18,1178,36,1.679,1.824
Newfoundland and Labrador,5/25/2021,1269,11,6,0,4,0,0.473,0
Nunavut,5/25/2021,640,1,4,0,0,0,0.625,0
Yukon,5/25/2021,105,0,2,0,0,0,1.905,0
Saskatchewan,5/25/2021,45820,111,526,0,136,3,1.148,0
Northwest Territories,5/25/2021,127,0,0,0,0,0,0,0
Prince Edward Island,5/25/2021,200,0,0,0,0,0,0,0
Nunavut,5/26/2021,647,7,4,0,0,0,0.618,0
Northwest Territories,5/26/2021,127,0,0,0,0,0,0,0
Manitoba,5/26/2021,49362,312,1047,3,253,0,2.121,0.962
Nova Scotia,5/26/2021,5437,37,79,0,53,1,1.453,0
Prince Edward Island,5/26/2021,200,0,0,0,0,0,0,0
Newfoundland and Labrador,5/26/2021,1273,4,6,0,6,2,0.471,0
New Brunswick,5/26/2021,2163,10,43,0,6,1,1.988,0
Yukon,5/26/2021,105,0,2,0,0,0,1.905,0
Yukon,5/27/2021,105,0,2,0,0,0,1.905,0
Northwest Territories,5/27/2021,127,0,0,0,0,0,0,0
Nunavut,5/27/2021,647,0,4,0,0,0,0.618,0
Prince Edward Island,5/27/2021,200,0,0,0,0,0,0,0
New Brunswick,5/27/2021,2172,9,43,0,8,2,1.98,0
Newfoundland and Labrador,5/28/2021,1293,14,6,0,5,0,0.464,0
Nunavut,5/28/2021,648,1,4,0,0,0,0.617,0
British Columbia,5/28/2021,143672,251,1692,2,292,6,1.178,0.797
Yukon,5/28/2021,105,0,2,0,0,0,1.905,0
Northwest Territories,5/28/2021,127,0,0,0,0,0,0,0
Prince Edward Island,5/28/2021,202,2,0,0,0,0,0,0
New Brunswick,5/29/2021,2191,10,43,0,7,0,1.963,0
Yukon,5/29/2021,105,0,2,0,0,0,1.905,0
Northwest Territories,5/29/2021,127,0,0,0,0,0,0,0
Saskatchewan,5/29/2021,46464,179,535,0,113,0,1.151,0
British Columbia,5/29/2021,143918,246,1692,0,292,0,1.176,0
Manitoba,5/29/2021,50508,348,1057,3,238,0,2.093,0.862
Nunavut,5/29/2021,648,0,4,0,0,0,0.617,0
Prince Edward Island,5/29/2021,202,0,0,0,0,0,0,0
Yukon,5/30/2021,105,0,2,0,0,0,1.905,0
Northwest Territories,5/30/2021,127,0,0,0,0,0,0,0
Nova Scotia,5/30/2021,5563,20,85,1,25,0,1.528,5
New Brunswick,5/30/2021,2200,9,43,0,7,0,1.955,0
Nunavut,5/30/2021,648,0,4,0,0,0,0.617,0
British Columbia,5/30/2021,144136,218,1692,0,292,0,1.174,0
Prince Edward Island,5/30/2021,202,0,0,0,0,0,0,0
Nunavut,5/31/2021,648,0,4,0,0,0,0.617,0
Prince Edward Island,5/31/2021,204,2,0,0,0,0,0,0
Manitoba,5/31/2021,51094,310,1065,6,236,3,2.084,1.935
New Brunswick,5/31/2021,2212,12,43,0,7,0,1.944,0
Yukon,5/31/2021,105,0,2,0,0,0,1.905,0
Northwest Territories,5/31/2021,128,1,0,0,0,0,0,0
British Columbia,6/1/2021,144487,198,1703,0,254,5,1.179,0
Nunavut,6/1/2021,648,0,4,0,0,0,0.617,0
Yukon,6/1/2021,105,0,2,0,0,0,1.905,0
Saskatchewan,6/1/2021,46834,86,538,1,108,0,1.149,1.163
Prince Edward Island,6/1/2021,204,0,0,0,0,0,0,0
Northwest Territories,6/1/2021,128,0,0,0,0,0,0,0
Northwest Territories,6/2/2021,128,0,0,0,0,0,0,0
Nova Scotia,6/2/2021,5609,17,87,2,23,0,1.551,11.765
Prince Edward Island,6/2/2021,204,0,0,0,0,0,0,0
Newfoundland and Labrador,6/2/2021,1334,17,6,0,1,0,0.45,0
New Brunswick,6/2/2021,2227,12,43,0,7,1,1.931,0
Yukon,6/2/2021,105,0,2,0,0,0,1.905,0
Nunavut,6/2/2021,648,0,4,0,0,0,0.617,0
Prince Edward Island,6/3/2021,206,2,0,0,0,0,0,0
Newfoundland and Labrador,6/3/2021,1340,6,6,0,2,1,0.448,0
Yukon,6/3/2021,105,0,2,0,0,0,1.905,0
Northwest Territories,6/3/2021,128,0,0,0,0,0,0,0
Nunavut,6/3/2021,648,0,4,0,0,0,0.617,0
Saskatchewan,6/4/2021,47186,89,541,0,101,1,1.147,0
British Columbia,6/4/2021,145092,227,1710,1,224,0,1.179,0.441
New Brunswick,6/4/2021,2253,10,44,0,5,0,1.953,0
Yukon,6/4/2021,105,0,2,0,0,0,1.905,0
Nunavut,6/4/2021,649,1,4,0,0,0,0.616,0
Prince Edward Island,6/4/2021,206,0,0,0,0,0,0,0
Northwest Territories,6/4/2021,128,0,0,0,0,0,0,0
Nova Scotia,6/4/2021,5649,15,88,0,13,0,1.558,0
Nova Scotia,6/5/2021,5667,18,88,0,14,1,1.553,0
British Columbia,6/5/2021,145229,137,1710,0,224,0,1.177,0
New Brunswick,6/5/2021,2262,9,44,0,5,0,1.945,0
Prince Edward Island,6/5/2021,206,0,0,0,0,0,0,0
Manitoba,6/5/2021,52534,266,1087,3,213,6,2.069,1.128
Yukon,6/5/2021,109,4,2,0,0,0,1.835,0
Newfoundland and Labrador,6/5/2021,1347,5,6,0,2,1,0.445,0
Nunavut,6/5/2021,649,0,4,0,0,0,0.616,0
Newfoundland and Labrador,6/6/2021,1352,5,6,0,2,0,0.444,0
Nunavut,6/6/2021,649,0,4,0,0,0,0.616,0
British Columbia,6/6/2021,145363,134,1710,0,224,0,1.176,0
Yukon,6/6/2021,109,0,2,0,0,0,1.835,0
New Brunswick,6/6/2021,2265,3,44,0,5,0,1.943,0
Saskatchewan,6/6/2021,47359,74,544,0,101,3,1.149,0
Northwest Territories,6/6/2021,128,0,0,0,0,0,0,0
Nova Scotia,6/6/2021,5679,12,88,0,14,0,1.55,0
Manitoba,6/6/2021,52760,226,1090,3,228,15,2.066,1.327
Prince Edward Island,6/6/2021,206,0,0,0,0,0,0,0
Prince Edward Island,6/7/2021,206,0,0,0,0,0,0,0
Northwest Territories,6/7/2021,128,0,0,0,0,0,0,0
Nova Scotia,6/7/2021,5693,14,88,0,15,1,1.546,0
Yukon,6/7/2021,109,0,2,0,0,0,1.835,0
Newfoundland and Labrador,6/7/2021,1354,2,6,0,2,0,0.443,0
Ontario,6/7/2021,537799,419,9048,10,620,3,1.682,2.387
Saskatchewan,6/7/2021,47427,68,547,3,102,1,1.153,4.412
Nunavut,6/7/2021,649,0,4,0,0,0,0.616,0
