Date,Province,Cumulative number of people (Vaccinedose1),Cumulative percent of people (Vaccinedose1)
2022-02-13,Ontario,12457832,82
2022-02-13,Manitoba,1147621,81
2022-02-13,Saskatchewan,950828,79
2022-02-13,Alberta,3535101,77
2022-02-13,British Columbia,4475663,84
2022-02-13,Yukon,36457,82
2022-02-13,Northwest Territories,34886,80
2022-02-13,Nunavut,32353,79
2022-02-20,Newfoundland and Labrador,497446,94
2022-02-20,Prince Edward Island,149351,87
2022-02-20,Nova Scotia,895864,87
2022-02-20,New Brunswick,696808,85
2022-02-20,Quebec,7374683,84
2022-02-20,Ontario,12477223,82
2022-02-20,Manitoba,1149474,81
2022-02-20,Saskatchewan,951556,79
2022-02-20,Alberta,3539255,77
2022-02-20,British Columbia,4490516,84
2022-02-20,Yukon,36488,83
2022-02-20,Northwest Territories,34923,80
2022-02-20,Nunavut,32561,80
2022-02-27,Newfoundland and Labrador,497920,94
2022-02-27,Prince Edward Island,149521,87
2022-02-27,Nova Scotia,896522,87
2022-02-27,New Brunswick,697403,85
2022-02-27,Quebec,7378913,84
2022-02-27,Ontario,12489709,82
2022-02-27,Manitoba,1150490,81
2022-02-27,Saskatchewan,952153,79
2022-02-27,Alberta,3541971,78
2022-02-27,British Columbia,4494515,84
2022-02-27,Yukon,36499,83
2022-02-27,Northwest Territories,34958,80
2022-02-27,Nunavut,32644,80
2022-03-06,Newfoundland and Labrador,498102,94
2022-03-06,Prince Edward Island,149633,87
2022-03-06,Nova Scotia,896923,88
2022-03-06,New Brunswick,697744,85
2022-03-06,Quebec,7381667,84
2022-03-06,Ontario,12498492,82
2022-03-06,Manitoba,1151502,81
2022-03-06,Saskatchewan,952749,79
2022-03-06,Alberta,3543997,78
2022-03-06,British Columbia,4497944,84
2022-03-06,Yukon,36490,83
2022-03-06,Northwest Territories,34958,80
2022-03-06,Nunavut,32741,80
2022-03-13,Newfoundland and Labrador,498283,94
2022-03-13,Prince Edward Island,149749,87
2022-03-13,Nova Scotia,897207,88
2022-03-13,New Brunswick,697997,86
2022-03-13,Quebec,7383909,84
2022-03-13,Ontario,12506368,82
2022-03-13,Manitoba,1152121,81
2022-03-13,Saskatchewan,953084,79
2022-03-13,Alberta,3545894,78
2022-03-13,British Columbia,4500983,84
2022-03-13,Yukon,36501,83
2022-03-13,Northwest Territories,35013,80
2022-03-13,Nunavut,32811,81
2022-03-20,Newfoundland and Labrador,498432,94
2022-03-20,Prince Edward Island,149823,87
2022-03-20,Nova Scotia,897451,88
2022-03-20,New Brunswick,698261,86
2022-03-20,Quebec,7377715,84
2022-03-20,Ontario,12513005,82
2022-03-20,Manitoba,1152704,81
2022-03-20,Saskatchewan,953403,79
2022-03-20,Alberta,3547819,78
2022-03-20,British Columbia,4503130,84
2022-03-20,Yukon,36513,83
2022-03-20,Northwest Territories,35029,80
2022-03-20,Nunavut,32884,81
2022-03-27,Newfoundland and Labrador,498548,94
2022-03-27,Prince Edward Island,149890,87
2022-03-27,Nova Scotia,898705,88
2022-03-27,New Brunswick,698479,86
2022-03-27,Quebec,7375995,84
2022-03-27,Ontario,12518007,82
2022-03-27,Manitoba,1153245,81
2022-03-27,Saskatchewan,953714,79
2022-03-27,Alberta,3549634,78
2022-03-27,British Columbia,4505751,84
2022-03-27,Yukon,36533,83
2022-03-27,Northwest Territories,35045,80
2022-03-27,Nunavut,32940,81
2022-04-03,Newfoundland and Labrador,498670,94
2022-04-03,Prince Edward Island,149941,87
2022-04-03,Nova Scotia,899011,88
2022-04-03,New Brunswick,698652,86
2022-04-03,Quebec,7377557,84
2022-04-03,Ontario,12523092,82
2022-04-03,Manitoba,1153603,81
2022-04-03,Saskatchewan,954009,79
2022-04-03,Alberta,3551369,78
2022-04-03,British Columbia,4507269,84
2022-04-03,Yukon,36537,83
2022-04-03,Northwest Territories,35054,80
2022-04-03,Nunavut,33009,81
2022-04-10,Newfoundland and Labrador,498753,94
2022-04-10,Prince Edward Island,149980,87
2022-04-10,Nova Scotia,899281,88
2022-04-10,New Brunswick,698817,86
2022-04-10,Quebec,7379460,84
2022-04-10,Ontario,12526296,82
2022-04-10,Manitoba,1154076,81
2022-04-10,Saskatchewan,954283,79
2022-04-10,Alberta,3552983,78
2022-04-10,British Columbia,4510170,84
2022-04-10,Yukon,36552,83
2022-04-10,Northwest Territories,35057,80
2022-04-10,Nunavut,33064,81
2022-04-24,Newfoundland and Labrador,498904,94
2022-04-24,Prince Edward Island,150076,87
2022-04-24,Nova Scotia,899803,88
2022-04-24,New Brunswick,699171,86
2022-04-24,Quebec,7383086,84
2022-04-24,Ontario,12537186,83
2022-04-24,Manitoba,1147979,81
2022-04-24,Saskatchewan,954920,79
2022-04-24,Alberta,3556699,78
2022-04-24,British Columbia,4514531,84
2022-04-24,Yukon,36565,83
2022-04-24,Northwest Territories,35077,80
2022-04-24,Nunavut,33117,81
2022-05-08,Newfoundland and Labrador,499164,94
2022-05-08,Prince Edward Island,150155,88
2022-05-08,Nova Scotia,900298,88
2022-05-08,New Brunswick,699543,86
2022-05-08,Quebec,7378249,84
2022-05-08,Ontario,12546587,83
2022-05-08,Manitoba,1148288,81
2022-05-08,Saskatchewan,955538,80
2022-05-08,Alberta,3560833,78
2022-05-08,British Columbia,4514324,84
2022-05-08,Yukon,36606,83
2022-05-08,Northwest Territories,35092,80
2022-05-08,Nunavut,33142,81
2022-05-22,Newfoundland and Labrador,499354,94
2022-05-22,Prince Edward Island,150248,88
2022-05-22,Nova Scotia,900733,88
2022-05-22,New Brunswick,699838,86
2022-05-22,Quebec,7381597,84
2022-05-22,Ontario,12555600,83
2022-05-22,Manitoba,1148563,81
2022-05-22,Saskatchewan,956150,80
2022-05-22,Alberta,3564293,78
2022-05-22,British Columbia,4518189,84
2022-05-22,Yukon,36629,83
2022-05-22,Northwest Territories,35115,80
2022-05-22,Nunavut,33170,81
2022-06-19,Newfoundland and Labrador,499706,95
2022-06-19,Prince Edward Island,150391,88
2022-06-19,Nova Scotia,901462,88
2022-06-19,New Brunswick,700533,86
2022-06-19,Quebec,7387093,85
2022-06-19,Ontario,12566850,83
2022-06-19,Manitoba,1149061,81
2022-06-19,Saskatchewan,957138,80
2022-06-19,Alberta,3569539,78
2022-06-19,British Columbia,4524033,85
2022-06-19,Yukon,36655,83
2022-06-19,Northwest Territories,35142,80
2022-06-19,Nunavut,33228,82
2022-07-17,Newfoundland and Labrador,500017,95
2022-07-17,Prince Edward Island,150548,88
2022-07-17,Nova Scotia,902193,88
2022-07-17,New Brunswick,701128,86
2022-07-17,Quebec,7380033,84
2022-07-17,Ontario,12573708,83
2022-07-17,Manitoba,1149563,81
2022-07-17,Saskatchewan,957997,80
2022-07-17,Alberta,3573383,78
2022-07-17,British Columbia,4527735,85
2022-07-17,Yukon,36671,83
2022-07-17,Northwest Territories,35142,80
2022-07-17,Nunavut,33293,82
2022-08-14,Newfoundland and Labrador,501184,95
2022-08-14,Prince Edward Island,151078,88
2022-08-14,Nova Scotia,905508,88
2022-08-14,New Brunswick,702070,86
2022-08-14,Quebec,6992319,80
2022-08-14,Ontario,12611718,83
2022-08-14,Manitoba,1151447,81
2022-08-14,Saskatchewan,961944,80
2022-08-14,Alberta,3585477,78
2022-08-14,British Columbia,4543239,85
2022-08-14,Yukon,36639,83
2022-08-14,Northwest Territories,34638,79
2022-08-14,Nunavut,32726,80
2022-09-11,Newfoundland and Labrador,502160,95
2022-09-11,Prince Edward Island,151533,88
2022-09-11,Nova Scotia,907253,89
2022-09-11,New Brunswick,703706,86
2022-09-11,Quebec,7001776,80
2022-09-11,Ontario,12644274,83
2022-09-11,Manitoba,1154499,81
2022-09-11,Saskatchewan,965206,80
2022-09-11,Alberta,3596158,79
2022-09-11,British Columbia,4556344,85
2022-09-11,Yukon,36821,83
2022-09-11,Northwest Territories,34721,79
2022-09-11,Nunavut,32763,80
2022-10-09,Newfoundland and Labrador,502638,95
2022-10-09,Prince Edward Island,151860,89
2022-10-09,Nova Scotia,908614,89
2022-10-09,New Brunswick,704410,86
2022-10-09,Quebec,7007518,80
2022-10-09,Ontario,12658798,83
2022-10-09,Manitoba,1156113,82
2022-10-09,Saskatchewan,966985,80
2022-10-09,Alberta,3601165,79
2022-10-09,British Columbia,4560777,85
2022-10-09,Yukon,36863,83
2022-10-09,Northwest Territories,34763,79
2022-10-09,Nunavut,32764,80
2022-11-06,Newfoundland and Labrador,503396,95
2022-11-06,Prince Edward Island,152145,89
2022-11-06,Nova Scotia,909865,89
2022-11-06,New Brunswick,704808,86
2022-11-06,Quebec,7013192,80
2022-11-06,Ontario,12670372,83
2022-11-06,Manitoba,1157581,82
2022-11-06,Saskatchewan,969428,81
2022-11-06,Alberta,3605381,79
2022-11-06,British Columbia,4567535,85
2022-11-06,Yukon,36999,84
2022-11-06,Northwest Territories,34716,79
2022-11-06,Nunavut,32777,80
2022-12-04,Newfoundland and Labrador,504081,95
2022-12-04,Prince Edward Island,152694,89
2022-12-04,Nova Scotia,911315,89
2022-12-04,New Brunswick,705056,86
2022-12-04,Quebec,7017520,80
2022-12-04,Ontario,12684588,84
2022-12-04,Manitoba,1159150,82
2022-12-04,Saskatchewan,971939,81
2022-12-04,Alberta,3609940,79
2022-12-04,British Columbia,4587433,86
2022-12-04,Yukon,37075,84
2022-12-04,Northwest Territories,35196,80
2022-12-04,Nunavut,32793,80
2023-01-01,Newfoundland and Labrador,504534,95
2023-01-01,Prince Edward Island,152950,89
2023-01-01,Nova Scotia,913364,89
2023-01-01,New Brunswick,705263,86
2023-01-01,Quebec,7022497,80
2023-01-01,Ontario,12690840,84
2023-01-01,Manitoba,1159727,82
2023-01-01,Saskatchewan,973608,81
2023-01-01,Alberta,3613332,79
2023-01-01,British Columbia,4600969,86
2023-01-01,Yukon,37168,84
2023-01-01,Northwest Territories,35286,80
2023-01-01,Nunavut,32815,81
2023-01-29,Newfoundland and Labrador,504949,96
2023-01-29,Prince Edward Island,153261,89
2023-01-29,Nova Scotia,914010,89
2023-01-29,New Brunswick,705564,86
2023-01-29,Quebec,7021757,80
2023-01-29,Ontario,12696516,84
2023-01-29,Manitoba,1160183,82
2023-01-29,Saskatchewan,975113,81
2023-01-29,Alberta,3616529,79
2023-01-29,British Columbia,4609282,86
2023-01-29,Yukon,37210,84
2023-01-29,Northwest Territories,34887,80
2023-01-29,Nunavut,32782,80
2023-02-26,Newfoundland and Labrador,505165,96
2023-02-26,Prince Edward Island,153389,89
2023-02-26,Nova Scotia,914274,89
2023-02-26,New Brunswick,705756,86
2023-02-26,Quebec,7022891,80
2023-02-26,Ontario,12693484,84
2023-02-26,Manitoba,1160398,82
2023-02-26,Saskatchewan,975958,81
2023-02-26,Alberta,3618415,79
2023-02-26,British Columbia,4611595,86
2023-02-26,Yukon,37309,84
2023-02-26,Northwest Territories,34495,79
2023-02-26,Nunavut,34419,84
2023-03-26,Newfoundland and Labrador,502850,95
2023-03-26,Prince Edward Island,153464,89
2023-03-26,Nova Scotia,914507,89
2023-03-26,New Brunswick,705982,86
2023-03-26,Quebec,7024333,80
2023-03-26,Ontario,12689223,84
2023-03-26,Manitoba,1158894,82
2023-03-26,Saskatchewan,976595,81
2023-03-26,Alberta,3619485,79
2023-03-26,British Columbia,4613061,86
2023-03-26,Yukon,37290,84
2023-03-26,Northwest Territories,34499,79
2023-03-26,Nunavut,34430,85
2023-04-23,Newfoundland and Labrador,502954,95
2023-04-23,Prince Edward Island,153556,90
2023-04-23,Nova Scotia,838424,82
2023-04-23,New Brunswick,706119,87
2023-04-23,Quebec,7027907,80
2023-04-23,Ontario,12683790,83
2023-04-23,Manitoba,1157897,82
2023-04-23,Saskatchewan,977070,81
2023-04-23,Alberta,3620374,79
2023-04-23,British Columbia,4614414,86
2023-04-23,Yukon,37273,84
2023-04-23,Northwest Territories,34499,79
2023-04-23,Nunavut,34432,85
